"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1934315250","x1098327655852793856",2019-02-20 21:04:53,"MyRounding","Detroit Medical Center 's new initiative uses #PredictiveAnalytics to ease the burden of flu outbreaks. #FluSeason https://t.co/HgKXJ3tsG7","HubSpot",138,,,,FALSE,FALSE,0,0,"PredictiveAnalytics FluSeason",,"hubs.ly/H0gBGFX0","https://t.co/HgKXJ3tsG7","https://hubs.ly/H0gBGFX0",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MyRounding/status/1098327655852793856","MyRounding","Denver, Colorado","MyRounding software lets nurses, hospital executives, administrators, and care providers collect, measure, and monitor patient satisfaction and engagement.","http://t.co/qi8GPLdUu1",FALSE,2406,2292,81,1840,284,2013-10-04 13:55:56,FALSE,"http://t.co/qi8GPLdUu1","http://www.myrounding.com","en","https://pbs.twimg.com/profile_banners/1934315250/1431978900","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/452911020793544705/GOD5A7i-_normal.png"
"x106782191","x1098327530673704975",2019-02-20 21:04:23,"MedStudy","Scientists are using new tech to study the spread of diseases in the aerosol phase <f0><U+009F><U+00A4><U+00A7> #themoreyouknow #fluseason https://t.co/dw4ePa30vp","HubSpot",135,,,,FALSE,FALSE,1,1,"themoreyouknow fluseason",,"hubs.ly/H0gv0qg0","https://t.co/dw4ePa30vp","https://hubs.ly/H0gv0qg0",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MedStudy/status/1098327530673704975","MedStudy","Colorado Springs, CO","MedStudy makes learning medicine easier. From board prep to continuing ed, wherever you are in your medical journey, our study solutions can help you succeed.","https://t.co/yxh96qu8D3",FALSE,463,297,5,1570,1241,2010-01-20 17:39:26,FALSE,"https://t.co/yxh96qu8D3","http://www.medstudy.com","en","https://pbs.twimg.com/profile_banners/106782191/1539813799","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/892763956137218051/mk0IqRT1_normal.jpg"
"x1084100120893947904","x1098326844649148418",2019-02-20 21:01:40,"hossfreeman","I believe I have done my whole caloric intake today in cough drops. #fluseason","Twitter for Android",78,,,,FALSE,FALSE,2,0,"fluseason",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hossfreeman/status/1098326844649148418","James Freeman","Buffalo, NY","Social media marketer  @wwizardgames - Content Creator @etboardgames #incorrigibleclub",,FALSE,29,92,0,159,223,2019-01-12 14:49:45,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1084100120893947904/1550365008",,"http://pbs.twimg.com/profile_images/1096935893309501442/DwToQW63_normal.jpg"
"x718723381","x1098326633747021824",2019-02-20 21:00:50,"RunnymedeHC","Staying home when you’re sick is one way you can protect yourself from the #flu this #fluseason. Read more flu prevention tips on our blog:: https://t.co/lpZoz55lLF https://t.co/l1N1rT04xk","Hootsuite Inc.",164,,,,FALSE,FALSE,0,0,"flu fluseason",,"ow.ly/tHoc30mLI1u","https://t.co/lpZoz55lLF","http://ow.ly/tHoc30mLI1u","http://pbs.twimg.com/media/Dz4KQLhWsAMC_BV.jpg","https://t.co/l1N1rT04xk","https://twitter.com/RunnymedeHC/status/1098326633747021824/photo/1","photo","http://pbs.twimg.com/media/Dz4KQLhWsAMC_BV.jpg","https://t.co/l1N1rT04xk","https://twitter.com/RunnymedeHC/status/1098326633747021824/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RunnymedeHC/status/1098326633747021824","Runnymede HC","Toronto, ON","Runnymede Healthcare Centre provides expert treatment and extended rehab to patients to get them back on their feet. Terms of Use: https://t.co/Z1lIIOfzzA","http://t.co/geseYRESEZ",FALSE,866,853,40,5427,531,2012-07-26 20:39:27,FALSE,"http://t.co/geseYRESEZ","http://www.runnymedehc.ca","en","https://pbs.twimg.com/profile_banners/718723381/1522074036","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1065323824483250176/A8nne2hp_normal.jpg"
"x2318775175","x1098318876029448192",2019-02-20 20:30:00,"r_luba","Forget the bleach!  Did you know you could add lemon essential oil to your cleaner to disinfect? 

https://t.co/kq9ORTmJRj

#cleaning #disinfect #fluseason #essentialoils https://t.co/6CAfpMGNMH","TweetDeck",170,,,,FALSE,FALSE,0,0,"cleaning disinfect fluseason essentialoils",,"bit.ly/2SibMp3","https://t.co/kq9ORTmJRj","http://bit.ly/2SibMp3","http://pbs.twimg.com/media/DwgVHYGU8AINl77.jpg","https://t.co/6CAfpMGNMH","https://twitter.com/r_luba/status/1098318876029448192/photo/1","photo","http://pbs.twimg.com/media/DwgVHYGU8AINl77.jpg","https://t.co/6CAfpMGNMH","https://twitter.com/r_luba/status/1098318876029448192/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/r_luba/status/1098318876029448192","Luba Rokpelnis","USA","Saved by grace, married to Yanis, helping women detox their homes and bodies https://t.co/46SzyqtThm  https://t.co/Fg2bbeSyNb","https://t.co/PRXTn0Qbh2",FALSE,1240,1908,84,11965,4742,2014-01-30 11:57:45,FALSE,"https://t.co/PRXTn0Qbh2","http://www.healthywithluba.com/gift","en","https://pbs.twimg.com/profile_banners/2318775175/1534566816","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/894383799097864192/3yiYDZnc_normal.jpg"
"x2318775175","x1096061502572900352",2019-02-14 15:00:00,"r_luba","Health tip:  add garlic and onions to your soups, salads, and other dishes to help with flavor and also to keep the flu away!

https://t.co/JBIypJPryI

#FluSeason #immunity #wellness #naturalremedies https://t.co/XCbgtbdjLs","TweetDeck",199,,,,FALSE,FALSE,0,0,"FluSeason immunity wellness naturalremedies",,"bit.ly/2O1j4yS","https://t.co/JBIypJPryI","http://bit.ly/2O1j4yS","http://pbs.twimg.com/media/DwlHyF2VsAA1htB.jpg","https://t.co/XCbgtbdjLs","https://twitter.com/r_luba/status/1096061502572900352/photo/1","photo","http://pbs.twimg.com/media/DwlHyF2VsAA1htB.jpg","https://t.co/XCbgtbdjLs","https://twitter.com/r_luba/status/1096061502572900352/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/r_luba/status/1096061502572900352","Luba Rokpelnis","USA","Saved by grace, married to Yanis, helping women detox their homes and bodies https://t.co/46SzyqtThm  https://t.co/Fg2bbeSyNb","https://t.co/PRXTn0Qbh2",FALSE,1240,1908,84,11965,4742,2014-01-30 11:57:45,FALSE,"https://t.co/PRXTn0Qbh2","http://www.healthywithluba.com/gift","en","https://pbs.twimg.com/profile_banners/2318775175/1534566816","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/894383799097864192/3yiYDZnc_normal.jpg"
"x727626301","x1098311829716168706",2019-02-20 20:02:00,"DailyCaring","Thx 4 share @AlignmentHealth! Seniors and caregivers are more likely to get sick, so taking simple steps to avoid the flu is worth the effort. Get 10 tips for avoiding the #flu &amp; 6 to ease flu symptoms.

#caregivers #caregiving #SeniorCare #eldercare #FluSeason https://t.co/NwxoXFdiY4","TweetDeck",265,,,,TRUE,FALSE,0,0,"flu caregivers caregiving SeniorCare eldercare FluSeason",,"twitter.com/AlignmentHealt…","https://t.co/NwxoXFdiY4","https://twitter.com/AlignmentHealth/status/1097986736880304128",,,,,,,,,"x1598751794","AlignmentHealth","en","x1097986736880304128","#Seniors and caregivers are more likely to get sick.16 tips to prevent the cold and #flu from @DailyCaring https://t.co/PoFauI3Gy7 https://t.co/LQaOvLsVFh",2019-02-19 22:30:12,"Hootsuite Inc.",3,0,"x1598751794","AlignmentHealth","Alignment Healthcare",677,257,1900,"Orange, CA","We are a company focused on improving health care for seniors across the country. Retweets are not endorsements. #AHC #Alignment #ItsInOurName",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DailyCaring/status/1098311829716168706","DailyCaring","San Francisco, CA","Caring for an aging parent or spouse? Our free, practical caregiving advice helps you solve real-life challenges. Sign up to get the best tips emailed daily!","https://t.co/XoXiUImgfN",FALSE,3809,703,127,15635,13427,2012-07-31 05:14:05,FALSE,"https://t.co/XoXiUImgfN","http://DailyCaring.com","en","https://pbs.twimg.com/profile_banners/727626301/1425681363","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/422858376247123968/vnJgBdyt_normal.jpeg"
"x727626301","x1098236331908571137",2019-02-20 15:02:00,"DailyCaring","Thx 4 share @OscilloUSA! Seniors and caregivers are more likely to get sick, so taking simple steps to avoid the flu is worth the effort. Get 10 tips for avoiding the #flu &amp; 6 to ease flu symptoms.

#caregivers #caregiving #SeniorCare #eldercare #FluSeason https://t.co/QAaFcI7eUN","TweetDeck",260,,,,TRUE,FALSE,2,3,"flu caregivers caregiving SeniorCare eldercare FluSeason",,"twitter.com/OscilloUSA/sta…","https://t.co/QAaFcI7eUN","https://twitter.com/OscilloUSA/status/1097987601867382784",,,,,,,,,"x17876394","OscilloUSA","en","x1097987601867382784","16 Cold and Flu Prevention Tips for Seniors and Caregivers - DailyCaring https://t.co/lPHS7TAFkp via @DailyCaring",2019-02-19 22:33:38,"Twitter Web Client",2,1,"x17876394","OscilloUSA","Oscillococcinum USA",4382,471,18114,"Newtown Square, Pa.","Oscillococcinum®, Chestal® & Coldcalm® are non-drowsy,@BoironUSA homeopathic cough, cold & flu medicines.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DailyCaring/status/1098236331908571137","DailyCaring","San Francisco, CA","Caring for an aging parent or spouse? Our free, practical caregiving advice helps you solve real-life challenges. Sign up to get the best tips emailed daily!","https://t.co/XoXiUImgfN",FALSE,3809,703,127,15635,13427,2012-07-31 05:14:05,FALSE,"https://t.co/XoXiUImgfN","http://DailyCaring.com","en","https://pbs.twimg.com/profile_banners/727626301/1425681363","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/422858376247123968/vnJgBdyt_normal.jpeg"
"x198532943","x1098311510361866241",2019-02-20 20:00:44,"NALC_National","Fight the #FluSeason! The NALC #Health Benefit Plan (HBP) offers FREE influenza pneumococcal &amp; seasonal flu vaccines to HBP members &amp; their eligible dependents. HBP has partnered w/more than 52,000 local pharmacies. Locate a pharmacy near you https://t.co/qi26BvbOTx #healthfirst https://t.co/ZsmHOx8zHc","Sprout Social",287,,,,FALSE,FALSE,0,0,"FluSeason Health healthfirst",,"bit.ly/2E9kmUb","https://t.co/qi26BvbOTx","https://bit.ly/2E9kmUb","http://pbs.twimg.com/media/Dz38fxmX0AAMtdV.jpg","https://t.co/ZsmHOx8zHc","https://twitter.com/NALC_National/status/1098311510361866241/photo/1","photo","http://pbs.twimg.com/media/Dz38fxmX0AAMtdV.jpg","https://t.co/ZsmHOx8zHc","https://twitter.com/NALC_National/status/1098311510361866241/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NALC_National/status/1098311510361866241","Letter Carriers","Washington, DC","Founded in 1889, NALC represents city letter carriers employed by @USPS, delivering to 152 million homes/businesses in every city, suburb and town in America.","https://t.co/ny1otC8HFb",FALSE,11825,4108,212,9268,1180,2010-10-04 15:29:33,TRUE,"https://t.co/ny1otC8HFb","http://nalc.org","en","https://pbs.twimg.com/profile_banners/198532943/1539112198","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1137296114/NALC_color_logo_normal.jpg"
"x2201851832","x1098311061302886403",2019-02-20 19:58:57,"miriam_varvara","Loyola University Chicago seriously needs to get rid of their soap snot. its gross and smells like defeat. I want my tuition dollars going to decent soap. #please #struggling #fluseason","Twitter Web Client",185,,,,FALSE,FALSE,0,0,"please struggling fluseason",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/miriam_varvara/status/1098311061302886403","Miriam Varvara","Chicago","-Loyola University Chicago -Entrepreneurship",,FALSE,184,175,2,532,3638,2013-11-18 19:28:56,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2201851832/1549400253","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1092897190165524480/gNP3Gwf6_normal.jpg"
