user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x30060762,x1099421160176009216,2/23/2019 21:30,MercySouthSTL,The number of flu cases is rising right on schedule. Can you spot the symptoms? https://t.co/DdtNqdJQCQ #ColdvsFlu #FluSeason https://t.co/N6Otu6b8YB,Salesforce - Social Studio,125,,,,FALSE,FALSE,1,0,ColdvsFlu FluSeason,,bit.ly/2SlrcIH,https://t.co/DdtNqdJQCQ,http://bit.ly/2SlrcIH,http://pbs.twimg.com/media/D0HttwJXgAAHxm4.jpg,https://t.co/N6Otu6b8YB,https://twitter.com/MercySouthSTL/status/1099421160176009216/photo/1,photo,http://pbs.twimg.com/media/D0HttwJXgAAHxm4.jpg,https://t.co/N6Otu6b8YB,https://twitter.com/MercySouthSTL/status/1099421160176009216/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/MercySouthSTL/status/1099421160176009216,Mercy South,"St. Louis, Missouri",Mercy Hospital South is the third-largest medical center in the St. Louis metropolitan area and a member of @FollowMercy.,https://t.co/m5ttu86vO3,FALSE,1386,202,84,4301,364,4/9/2009 20:32,FALSE,https://t.co/m5ttu86vO3,http://mercy.net,en,https://pbs.twimg.com/profile_banners/30060762/1538414655,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1046751713690976256/rjmQ1avJ_normal.jpg
x40876316,x1099420635158196229,2/23/2019 21:28,DanaHFreeman,"Traveling is tiring, but getting sick while traveling, can ruin the trip. Here are 10 Ways to Avoid Getting Sick While Traveling <f0><U+009F><U+0091><U+0089><f0><U+009F><U+008F><U+00BE> https://t.co/uHH51zTM6h via @phillipsloopllc #phillipsloop #travelhacks #fluseason",TweetDeck,214,,,,FALSE,FALSE,3,2,phillipsloop travelhacks fluseason,,bit.ly/2BNCb8x,https://t.co/uHH51zTM6h,https://bit.ly/2BNCb8x,,,,,,,,,x892911635114987529,phillipsloopllc,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/DanaHFreeman/status/1099420635158196229,Dana Freeman,"Burlington, Vermont","#Travel Writer | Food, wine, luxury & cruise enthusiast | Seen in @portholecruise @forbestravelguide Looking for the road less traveled | @U2 addict",https://t.co/JENgJ5JoxU,FALSE,9547,5881,431,34727,454,5/18/2009 13:50,TRUE,https://t.co/JENgJ5JoxU,http://www.danahfreeman.com,en,https://pbs.twimg.com/profile_banners/40876316/1487778771,http://abs.twimg.com/images/themes/theme5/bg.gif,http://pbs.twimg.com/profile_images/654008772738703360/nT2Kffll_normal.jpg
x35821300,x1099420139055955969,2/23/2019 21:26,abtassociates,"We’re delivering rapid data collection to @CDCgov to #FightFlu.

Implementing web panel surveys during #fluseason can identify actual &amp; perceived barriers for #vaccination, ultimately increasing effectiveness of #flu communications. 

Read more: https://t.co/0xhplaGwz7 @CDCFlu https://t.co/wReTywmbVu",Sprout Social,281,,,,FALSE,FALSE,1,0,FightFlu fluseason vaccination flu,,bit.ly/2TCBTYW,https://t.co/0xhplaGwz7,https://bit.ly/2TCBTYW,http://pbs.twimg.com/media/D0HsyTnW0AAFbSY.jpg,https://t.co/wReTywmbVu,https://twitter.com/abtassociates/status/1099420139055955969/photo/1,photo,http://pbs.twimg.com/media/D0HsyTnW0AAFbSY.jpg,https://t.co/wReTywmbVu,https://twitter.com/abtassociates/status/1099420139055955969/photo/1,,x146569971 x16616061,CDCgov CDCFlu,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/abtassociates/status/1099420139055955969,Abt Associates,"Cambridge, Massachusetts","Bold Thinkers Driving Real-World Impact. Global leaders in research & program implementation in health, social/environmental policy & international development.",http://t.co/GNF5heeSJz,FALSE,10054,2710,468,15427,2297,4/27/2009 18:43,TRUE,http://t.co/GNF5heeSJz,http://www.abtassociates.com,en,https://pbs.twimg.com/profile_banners/35821300/1542308938,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/543077339215568896/Ba0yyrjC_normal.jpeg
x35821300,x1098226771227525122,2/20/2019 14:24,abtassociates,"During the 2017-18 #fluseason, in the U.S. alone roughly 80,000 people died from the #flu &amp; another 959,000 were hospitalized for flu-related conditions. 
Learn how our research helps government agencies prepare for this #globalhealth threat <f0><U+009F><U+0093><U+00B9>: https://t.co/PwVdyVEenj #FightFlu",Sprout Social,282,,,,FALSE,FALSE,0,0,fluseason flu globalhealth FightFlu,,bit.ly/2UNjMQ3,https://t.co/PwVdyVEenj,https://bit.ly/2UNjMQ3,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/abtassociates/status/1098226771227525122,Abt Associates,"Cambridge, Massachusetts","Bold Thinkers Driving Real-World Impact. Global leaders in research & program implementation in health, social/environmental policy & international development.",http://t.co/GNF5heeSJz,FALSE,10054,2710,468,15427,2297,4/27/2009 18:43,TRUE,http://t.co/GNF5heeSJz,http://www.abtassociates.com,en,https://pbs.twimg.com/profile_banners/35821300/1542308938,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/543077339215568896/Ba0yyrjC_normal.jpeg
x76417139,x1099413716200800256,2/23/2019 21:00,IDSAInfo,"Is it food poisoning or the flu? @IDSAInfo spokesperson Dr. Aaron Glatt helps set the record straight about the differences between the two and which one you’re more likely to get. @MensHealthMag #fluseason
https://t.co/3PoIUi8JP8",Hootsuite Inc.,230,,,,FALSE,FALSE,1,0,fluseason,,ow.ly/A25m50lYb4D,https://t.co/3PoIUi8JP8,http://ow.ly/A25m50lYb4D,,,,,,,,,x76417139 x25093616,IDSAInfo MensHealthMag,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/IDSAInfo/status/1099413716200800256,IDSA,"Arlington, VA",News and information from the Infectious Diseases Society of America. IDSA is your one-stop shop for infectious disease info.,http://t.co/F3zP8TxhFc,FALSE,18042,341,400,5758,402,9/22/2009 19:01,FALSE,http://t.co/F3zP8TxhFc,http://www.idsociety.org,en,https://pbs.twimg.com/profile_banners/76417139/1546274502,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1062396233132662784/5rVITZFv_normal.jpg
x2848847150,x1099406441381736448,2/23/2019 20:31,sheriannekay,"Traveling is tiring, but getting sick while traveling, can ruin the trip. Here are 10 Ways to Avoid Getting Sick While Traveling <f0><U+009F><U+0091><U+0089><f0><U+009F><U+008F><U+00BE> https://t.co/mxUbhJGl24 via @phillipsloopllc #phillipsloop #travelhacks #fluseason",Twitter Web Client,214,,,,FALSE,FALSE,0,0,phillipsloop travelhacks fluseason,,bit.ly/2BNCb8x,https://t.co/mxUbhJGl24,https://bit.ly/2BNCb8x,,,,,,,,,x892911635114987529,phillipsloopllc,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/sheriannekay/status/1099406441381736448,Out of Office Travel Blog,"San Diego, CA","Solo Female Travel Blogger based in San Diego CA. Tips, Tricks & Inspiration to make your travel dreams come true. Follow me to Escape the Office & Travel!",https://t.co/yaUNSzjlJQ,FALSE,12699,5167,244,4441,7882,10/9/2014 12:59,FALSE,https://t.co/yaUNSzjlJQ,http://OutOfOffice.Blog,en,https://pbs.twimg.com/profile_banners/2848847150/1516662685,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1060914771770265600/DeylJB8a_normal.jpg
x2284411962,x1099405289789505537,2/23/2019 20:27,Discover_JM,Keep your clients' offices healthy this #fluseason with infection control cleaning designed to prevent illnesses in the workplace. https://t.co/0CTEygFD0p,CoSchedule,154,,,,FALSE,FALSE,1,1,fluseason,,bit.ly/2RKgmAr,https://t.co/0CTEygFD0p,http://bit.ly/2RKgmAr,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/Discover_JM/status/1099405289789505537,Janitorial Manager,"Toledo, OH","Software Tracking Performance and Providing Insights That Drive Operational, Employee, and Customer Success For Cleaning Companies. #janitorialsoftware",https://t.co/noN7zgKSYI,FALSE,327,465,8,2960,172,1/10/2014 2:33,FALSE,https://t.co/noN7zgKSYI,https://goo.gl/BQas1u,en,https://pbs.twimg.com/profile_banners/2284411962/1547670509,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1002542552979869696/9yWLAgC2_normal.jpg
x728589560,x1099389430660505601,2/23/2019 19:24,eandicoop,"What's the germiest place in your #school? Your mind might immediately jump to the bathroom, but that's not even in the top 5.

Check out the 7 germiest places in school, courtesy of SSC Services for #Education.

#highered #K12 #coldandflu #fluseason

https://t.co/6Xj7gmlAWm",Sprout Social,275,,,,FALSE,FALSE,0,1,school Education highered K12 coldandflu fluseason,,bit.ly/2E9EEeQ,https://t.co/6Xj7gmlAWm,https://bit.ly/2E9EEeQ,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/eandicoop/status/1099389430660505601,E&I Cooperative Services,"Jericho, NY","The member-owned, non-profit sourcing cooperative delivering expertise, solutions and services to #education and related institutions.",http://t.co/WGfXOY4qrt,FALSE,1400,3107,57,2640,1012,7/31/2012 15:10,FALSE,http://t.co/WGfXOY4qrt,http://www.eandi.org,en,https://pbs.twimg.com/profile_banners/728589560/1487277633,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/832263857058021377/T0AAZ88r_normal.jpg
x16896697,x1099383776071700480,2/23/2019 19:01,lilyish,Have the kind of cold that gives me the singing voice I’ve always wanted. #sexy #raspy #fluseason https://t.co/ZYmpvopyh8,Twitter for iPhone,97,,,,FALSE,FALSE,0,0,sexy raspy fluseason,,,,,http://pbs.twimg.com/tweet_video_thumb/D0HLtsBU0AAH8Jp.jpg,https://t.co/ZYmpvopyh8,https://twitter.com/lilyish/status/1099383776071700480/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/D0HLtsBU0AAH8Jp.jpg,https://t.co/ZYmpvopyh8,https://twitter.com/lilyish/status/1099383776071700480/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/lilyish/status/1099383776071700480,lilyish,"los angeles, CA, USA",<U+2728>,,FALSE,233,553,6,4529,17350,10/22/2008 0:00,FALSE,,,en,https://pbs.twimg.com/profile_banners/16896697/1410101641,http://abs.twimg.com/images/themes/theme5/bg.gif,http://pbs.twimg.com/profile_images/1054501465522204672/wONeylhI_normal.jpg
x2295148988,x1099373409832710144,2/23/2019 18:20,AndreBestMN,#FluSeason is not fun! #Infographic + #video: https://t.co/QWqdlRnWvY @CDCgov #flu https://t.co/ff2gXc6QuI,Hootsuite Inc.,82,,,,FALSE,FALSE,0,0,FluSeason Infographic video flu,,bit.ly/2Su66Mj,https://t.co/QWqdlRnWvY,http://bit.ly/2Su66Mj,http://pbs.twimg.com/ext_tw_video_thumb/1099372075146493954/pu/img/Jt8QbGhm6px4abgH.jpg,https://t.co/ff2gXc6QuI,https://twitter.com/AndreBestMN/status/1099373409832710144/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1099372075146493954/pu/img/Jt8QbGhm6px4abgH.jpg,https://t.co/ff2gXc6QuI,https://twitter.com/AndreBestMN/status/1099373409832710144/video/1,,x146569971,CDCgov,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/AndreBestMN/status/1099373409832710144,Andre Best,Minnesota,Committed to providing client satisfaction and caregiver happiness. Founder of Best Home Care • St. Paul/Minneapolis #caregiving,https://t.co/TI51GNooYL,FALSE,490,365,72,9944,1612,1/16/2014 23:17,FALSE,https://t.co/TI51GNooYL,http://besthomecaremn.com,en,https://pbs.twimg.com/profile_banners/2295148988/1527874915,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/644911306974232577/JYF3JwMW_normal.jpg
