user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x1047297769872883712,x1098326428687335424,2/20/2019 21:00,UnnimediosOax,"@SSO_GobOax te recuerda: los virus de la #Influenza pueden sobrevivir en las superficies que tocas. El lavado de manos reduce las posibilidades de enfermarte. ¡Lávate las manos! es rápido, sencillo y económico. https://t.co/ckLCIbZIxv",TweetDeck,210,,x160752133,SSO_GobOax,FALSE,FALSE,0,0,Influenza,,,,,http://pbs.twimg.com/media/Dz3NKwiXQAAiidT.jpg,https://t.co/ckLCIbZIxv,https://twitter.com/UnnimediosOax/status/1098326428687335424/photo/1,photo,http://pbs.twimg.com/media/Dz3NKwiXQAAiidT.jpg,https://t.co/ckLCIbZIxv,https://twitter.com/UnnimediosOax/status/1098326428687335424/photo/1,,x160752133,SSO_GobOax,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/UnnimediosOax/status/1098326428687335424,Unnimedios Oaxaca™,"Puebla, México",La cadena de medios de comunicación más importante del País #Unnimedios #Puebla #Ennlace #HaciendoQueLoBuenoPase #PorqueElMejorDiaParaHacerloEsHoy,https://t.co/cI0NTGLA3w,FALSE,1335,428,2,3328,1232,10/3/2018 1:30,FALSE,https://t.co/cI0NTGLA3w,http://www.unnimedios.com.mx,es,https://pbs.twimg.com/profile_banners/1047297769872883712/1550189622,,http://pbs.twimg.com/profile_images/1096200791042355200/E0I2yDzo_normal.png
x6065942,x1098325282455457792,2/20/2019 20:55,tynanwrites,"does it make you look like a narcissistic d-bag? 

#influencers or #influenza -- you decide. https://t.co/FfDiHGo6to",Twitter Web Client,92,,,,TRUE,FALSE,0,0,influencers influenza,,twitter.com/CNET/status/10…,https://t.co/FfDiHGo6to,https://twitter.com/CNET/status/1098309819889532928,,,,,,,,,,,en,x1098309819889532928,Galaxy S10 camera has a new mode called Instagram Mode #Unpacked https://t.co/e8sh3tduey https://t.co/N9AZ4S5E0L,2/20/2019 19:54,Sprinklr,36,19,x30261067,CNET,CNET,1596840,356,215670,San Francisco,CNET is the place to find out what's happening in tech and why it matters.,TRUE,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/tynanwrites/status/1098325282455457792,"Dan ""National Emergency"" Tynan",earth,"Award-winning writer, editor & International Man of Mystery. Former EiC at Yahoo Tech; now writing for Adweek, The Guardian, Family Circle, etc.  #AWJ #OFN",https://t.co/s2qc6RDfAt,FALSE,10120,4856,562,24185,7926,5/15/2007 15:54,TRUE,https://t.co/s2qc6RDfAt,https://muckrack.com/tynanwrites,en,https://pbs.twimg.com/profile_banners/6065942/1549824097,http://abs.twimg.com/images/themes/theme7/bg.gif,http://pbs.twimg.com/profile_images/1098282474503839744/lgymlUdn_normal.png
x145390178,x1098319245254033408,2/20/2019 20:31,saludcolima,Los hábitos saludables como cubrirse la boca al toser y lavarse las manos pueden ayudar a detener la proliferación de gérmenes y prevenir infecciones respiratorias como la #Influenza. https://t.co/0AgbWjqhFj,Postcron App,183,,,,FALSE,FALSE,0,2,Influenza,,,,,http://pbs.twimg.com/media/Dz4DiECWkAk9lvh.jpg,https://t.co/0AgbWjqhFj,https://twitter.com/saludcolima/status/1098319245254033408/photo/1,photo,http://pbs.twimg.com/media/Dz4DiECWkAk9lvh.jpg,https://t.co/0AgbWjqhFj,https://twitter.com/saludcolima/status/1098319245254033408/photo/1,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/saludcolima/status/1098319245254033408,Salud Colima,Colima,Secretaría de Salud y Bienestar Social del Gobierno del Estado de Colima. México.,https://t.co/CLWKXgwDzp,FALSE,6199,132,111,42217,716,5/18/2010 21:37,FALSE,https://t.co/CLWKXgwDzp,http://www.saludcolima.gob.mx,es,https://pbs.twimg.com/profile_banners/145390178/1550601047,http://abs.twimg.com/images/themes/theme2/bg.gif,http://pbs.twimg.com/profile_images/1093884983968620545/0MtDQstp_normal.jpg
x145390178,x1097995412512731137,2/19/2019 23:04,saludcolima,Atendidos y controlados casos por #Influenza detectados en buque que arribó a Manzanillo. Tripulantes no contaban con la vacunación. Mediante operativo de Sanidad Internacional se mantiene la seguridad en salud en el puerto colimense: https://t.co/xRdNXYm16a https://t.co/ShK5d7pbyI,Twitter Web Client,258,,,,FALSE,FALSE,2,3,Influenza,,bit.ly/2U1R8Li,https://t.co/xRdNXYm16a,http://bit.ly/2U1R8Li,http://pbs.twimg.com/media/Dzzc3K_UcAADPLQ.jpg,https://t.co/ShK5d7pbyI,https://twitter.com/saludcolima/status/1097995412512731137/photo/1,photo,http://pbs.twimg.com/media/Dzzc3K_UcAADPLQ.jpg http://pbs.twimg.com/media/Dzzc7eQVYAEzM7R.jpg http://pbs.twimg.com/media/Dzzc9_WUYAAhSzZ.jpg http://pbs.twimg.com/media/Dzzc_LmUYAAzXHE.jpg,https://t.co/ShK5d7pbyI https://t.co/ShK5d7pbyI https://t.co/ShK5d7pbyI https://t.co/ShK5d7pbyI,https://twitter.com/saludcolima/status/1097995412512731137/photo/1 https://twitter.com/saludcolima/status/1097995412512731137/photo/1 https://twitter.com/saludcolima/status/1097995412512731137/photo/1 https://twitter.com/saludcolima/status/1097995412512731137/photo/1,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/saludcolima/status/1097995412512731137,Salud Colima,Colima,Secretaría de Salud y Bienestar Social del Gobierno del Estado de Colima. México.,https://t.co/CLWKXgwDzp,FALSE,6199,132,111,42217,716,5/18/2010 21:37,FALSE,https://t.co/CLWKXgwDzp,http://www.saludcolima.gob.mx,es,https://pbs.twimg.com/profile_banners/145390178/1550601047,http://abs.twimg.com/images/themes/theme2/bg.gif,http://pbs.twimg.com/profile_images/1093884983968620545/0MtDQstp_normal.jpg
x145390178,x1098016165790658560,2/20/2019 0:27,saludcolima,Lavarse las manos con frecuencia evita que se transmita el virus de infecciones respiratorias o #Influenza https://t.co/Sx9KEuUAaq,Postcron App,106,,,,FALSE,FALSE,2,3,Influenza,,,,,http://pbs.twimg.com/media/Dzzv4iwXQAAXMo3.jpg,https://t.co/Sx9KEuUAaq,https://twitter.com/saludcolima/status/1098016165790658560/photo/1,photo,http://pbs.twimg.com/media/Dzzv4iwXQAAXMo3.jpg,https://t.co/Sx9KEuUAaq,https://twitter.com/saludcolima/status/1098016165790658560/photo/1,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/saludcolima/status/1098016165790658560,Salud Colima,Colima,Secretaría de Salud y Bienestar Social del Gobierno del Estado de Colima. México.,https://t.co/CLWKXgwDzp,FALSE,6199,132,111,42217,716,5/18/2010 21:37,FALSE,https://t.co/CLWKXgwDzp,http://www.saludcolima.gob.mx,es,https://pbs.twimg.com/profile_banners/145390178/1550601047,http://abs.twimg.com/images/themes/theme2/bg.gif,http://pbs.twimg.com/profile_images/1093884983968620545/0MtDQstp_normal.jpg
x245189536,x1098318875098148865,2/20/2019 20:30,codigosanluisi,"#Salud #Educación #Influenza 
* La directora Guadalupe Torres guarda silencio ante alerta de padres de familia
* En 15 días se contagiaron los tres estudiantes
@SEGESLP @ssaslp
https://t.co/erY4UWDQic",TweetDeck,200,,,,FALSE,FALSE,0,0,Salud Educación Influenza,,codigosanluis.com/primaria-3-cas…,https://t.co/erY4UWDQic,https://www.codigosanluis.com/primaria-3-casos-influenza/,,,,,,,,,x848001409 x151191618,SEGESLP ssaslp,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/codigosanluisi/status/1098318875098148865,Código San Luis,"México, San Luis Potosí","Política,Cultura, Salud, Humor, Cine y mucho más...",https://t.co/elABOrXHFB,FALSE,17018,782,123,102394,611,1/31/2011 2:57,FALSE,https://t.co/elABOrXHFB,http://www.codigosanluis.com,es,https://pbs.twimg.com/profile_banners/245189536/1550269634,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/1082266804821454848/2oFcMcsn_normal.jpg
x3279964723,x1098311457228365824,2/20/2019 20:00,PharmacyTimesCE,"Calling all #pharmacists: Save the date for March 23 &amp; 24. PTCE is hosting three live #symposium held in conjunction with #APhA2019. [Register below]
#Migraine - https://t.co/UG26ipZlIo 
#Influenza - https://t.co/buioOryp6D 
#HIV - https://t.co/FOCKcg4iLf https://t.co/FkHXbcUDn7",Hootsuite Inc.,259,,,,FALSE,FALSE,0,0,pharmacists symposium APhA2019 Migraine Influenza HIV,,ow.ly/7NFl30nLNtv ow.ly/nbDx30nLNvA ow.ly/Lg8P30nLNxD,https://t.co/UG26ipZlIo https://t.co/buioOryp6D https://t.co/FOCKcg4iLf,http://ow.ly/7NFl30nLNtv http://ow.ly/nbDx30nLNvA http://ow.ly/Lg8P30nLNxD,http://pbs.twimg.com/media/Dz38cy0WsAA84uQ.jpg,https://t.co/FkHXbcUDn7,https://twitter.com/PharmacyTimesCE/status/1098311457228365824/photo/1,photo,http://pbs.twimg.com/media/Dz38cy0WsAA84uQ.jpg,https://t.co/FkHXbcUDn7,https://twitter.com/PharmacyTimesCE/status/1098311457228365824/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/PharmacyTimesCE/status/1098311457228365824,PharmacyTimesCE,"Cranbury, NJ",Pharmacy Times Continuing Education develops and implements continuing pharmacy education (CPE) activities that enhance the knowledge and skills of pharmacists.,http://t.co/mIgN1QOlPo,FALSE,892,281,26,998,270,7/14/2015 20:20,FALSE,http://t.co/mIgN1QOlPo,http://PharmacyTimes.org,en,https://pbs.twimg.com/profile_banners/3279964723/1452274149,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/826483885487902720/TzMbGw02_normal.jpg
x918236712643411968,x1098303391296442368,2/20/2019 19:28,DrJenChen4kids,"Another likely preventable death from #influenza, this one close to home <U+2639><U+FE0F> Still not too late to get #flushot! 
#VaxFactsFebruary #VaccinesSaveLives #VaccinesCauseAdults #FluShotsforLeon #ForJudeForEveryone
@famfightflu @Voices4Vaccines @ImmunizeCa @AAPCA3 https://t.co/gg2av1X037",Twitter for iPhone,257,,,,TRUE,FALSE,1,2,influenza flushot VaxFactsFebruary VaccinesSaveLives VaccinesCauseAdults FluShotsforLeon ForJudeForEveryone,,twitter.com/sandiegocounty…,https://t.co/gg2av1X037,https://twitter.com/sandiegocounty/status/1098302420579319808,,,,,,,,,x44675315 x880883612 x17499373 x2411153421,famfightflu Voices4Vaccines ImmunizeCa AAPCA3,en,x1098302420579319808,"14-Year-Old San Diego girl dies from flu.

https://t.co/EhisifgiyJ",2/20/2019 19:24,TweetDeck,3,1,x17200375,SanDiegoCounty,SanDiegoCounty,106467,227,10830,"San Diego, California",Official Twitter for the County of San Diego.,TRUE,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/DrJenChen4kids/status/1098303391296442368,"Jennifer K. Chen, MD FAAP","San Diego, CA","#PedsHM fellow @Radychildrens, @AAPSOPT District IX fellow DR, @CMDANational lifetime member <f0><U+009F><U+0091><U+00A9><f0><U+009F><U+008F><U+00BB><U+200D><U+2695><U+FE0F> Tweets <U+2260> medical advice, views of my employer, etc.",,FALSE,984,1006,20,2754,9601,10/11/2017 22:07,FALSE,,,en,https://pbs.twimg.com/profile_banners/918236712643411968/1539462747,,http://pbs.twimg.com/profile_images/1029107025391759360/JzOoGs4j_normal.png
x918236712643411968,x1095578410263339008,2/13/2019 7:00,DrJenChen4kids,"Another previously healthy child dies from #influenza <U+2639><U+FE0F> @famfightflu @Voices4Vaccines @VaxAmbassadors @WorkVaccines

Reminder that some protection from #flushot is better than none, and even if you get the flu, it’s milder if you’re vaccinated! #VaxFactsFebruary #FightFlu https://t.co/qFnX4Cl8F6",Twitter for iPhone,273,,,,TRUE,FALSE,23,12,influenza flushot VaxFactsFebruary FightFlu,,twitter.com/fox5sandiego/s…,https://t.co/qFnX4Cl8F6,https://twitter.com/fox5sandiego/status/1095557085356589069,,,,,,,,,x44675315 x880883612 x858621997 x1066687789767417856,famfightflu Voices4Vaccines VaxAmbassadors WorkVaccines,en,x1095557085356589069,"7-year-old dies following flu symptoms, coma https://t.co/X7CR7aeJGr https://t.co/S08XJoFKQI",2/13/2019 5:35,trueAnthem,4,3,x18247597,fox5sandiego,FOX 5 San Diego,183003,687,80874,"San Diego, CA",News from around San Diego. Staffed by https://t.co/cRgsaRPIZB editors. #SOsandiego,TRUE,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/DrJenChen4kids/status/1095578410263339008,"Jennifer K. Chen, MD FAAP","San Diego, CA","#PedsHM fellow @Radychildrens, @AAPSOPT District IX fellow DR, @CMDANational lifetime member <f0><U+009F><U+0091><U+00A9><f0><U+009F><U+008F><U+00BB><U+200D><U+2695><U+FE0F> Tweets <U+2260> medical advice, views of my employer, etc.",,FALSE,984,1006,20,2754,9601,10/11/2017 22:07,FALSE,,,en,https://pbs.twimg.com/profile_banners/918236712643411968/1539462747,,http://pbs.twimg.com/profile_images/1029107025391759360/JzOoGs4j_normal.png
x305778438,x1098010090874064896,2/20/2019 0:03,ISSSTE_HGO,"Lavarse las manos con frecuencia con agua y jabón o usar alcohol gel. Toser y estornudar cubriéndose con un pañuelo, o con el ángulo que forma el brazo con el antebrazo #Influenza https://t.co/pr7kEifCZA",TweetDeck,179,,,,FALSE,FALSE,1,1,Influenza,,,,,http://pbs.twimg.com/media/Dzx-C_0WkAA_5xI.jpg,https://t.co/pr7kEifCZA,https://twitter.com/ISSSTE_HGO/status/1098010090874064896/photo/1,photo,http://pbs.twimg.com/media/Dzx-C_0WkAA_5xI.jpg,https://t.co/pr7kEifCZA,https://twitter.com/ISSSTE_HGO/status/1098010090874064896/photo/1,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/ISSSTE_HGO/status/1098010090874064896,ISSSTE HIDALGO,Hidalgo,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado.,https://t.co/fZ6t3KnUfO,FALSE,2242,1075,25,21097,7877,5/26/2011 19:43,FALSE,https://t.co/fZ6t3KnUfO,http://www.issste.gob.mx/delegaciones/hidalgo/hidalgo/principal.htm,es,https://pbs.twimg.com/profile_banners/305778438/1546194118,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1075437467145306112/2ZnkoUOm_normal.jpg
