"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2201578789","x1104091140930846723",2019-03-08 18:46:55,"LearningTechz","Flu season isn’t over just yet. Taking precautions will be key to keeping students healthy all year round: https://t.co/UypC710yhW

#FluSeason #healthyliving #classroom #schools #healthy","Twitter Web Client",186,,,,FALSE,FALSE,0,0,"FluSeason healthyliving classroom schools healthy",,"snip.ly/8a73yj","https://t.co/UypC710yhW","http://snip.ly/8a73yj",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LearningTechz/status/1104091140930846723","Learning Techz","Fairfield, NJ","We are HamiltonBuhl, the leaders in designing and manufacturing of electronics and STEAM Products for education. #LearningTechz","http://t.co/VgPoAsZMPO",FALSE,381,631,20,1754,378,2013-11-18 16:26:07,FALSE,"http://t.co/VgPoAsZMPO","http://www.HamiltonBuhl.com","en","https://pbs.twimg.com/profile_banners/2201578789/1445445363","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/656870464774668293/mG_5aM8H_normal.jpg"
"x255538432","x1104087849484279808",2019-03-08 18:33:50,"Jsvandyke13","Home with a sick kiddo today. I got my necessities and so does she! #mickeymouse #starbucks #fluseason #sickday https://t.co/Gfr4o1ml6y","Instagram",135,,,,FALSE,FALSE,0,0,"mickeymouse starbucks fluseason sickday",,"instagram.com/p/Buwe4mPn0Kdb…","https://t.co/Gfr4o1ml6y","https://www.instagram.com/p/Buwe4mPn0KdbyUnJWhvoOT4-6J_EYYEvJihhJ00/?utm_source=ig_twitter_share&igshid=1e3p7udjjfitk",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Jsvandyke13/status/1104087849484279808","Jordan Van Dyke","Hubbard, OR","Amateur radio operator (N7iOS), 9-1-1 dispatcher & PIO, general tech nerd, and father to a beautiful baby girl.",,FALSE,145,565,23,16341,236,2011-02-21 15:36:05,FALSE,,,"en","https://pbs.twimg.com/profile_banners/255538432/1511289624","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1097189811557822464/1HLwlcHg_normal.jpg"
"x3142355193","x1104081892368879620",2019-03-08 18:10:10,"NHPRIHealth","Are you at a greater risk for a flu-related emergency? Learn more about how to spot the signs of when to go to your doctor, ER or urgent care. @EverydayHealth  #fluseason https://t.co/Ufna6aUmXT","Hootsuite Inc.",194,,,,FALSE,FALSE,0,0,"fluseason",,"bit.ly/2U0XieC","https://t.co/Ufna6aUmXT","https://bit.ly/2U0XieC",,,,,,,,,"x17393790","EverydayHealth","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NHPRIHealth/status/1104081892368879620","Neighborhood Health","Smithfield, RI","Neighborhood Health Plan of Rhode Island offers nationally-recognized, high-quality health care for hundreds of thousands of Rhode Islanders.","https://t.co/LDgc2lQXYi",FALSE,787,720,22,3326,1112,2015-04-07 00:51:15,FALSE,"https://t.co/LDgc2lQXYi","http://www.nhpri.org","en","https://pbs.twimg.com/profile_banners/3142355193/1535724571","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/876819605427302401/H3MgFJ3i_normal.jpg"
"x88558902","x1104075545111945221",2019-03-08 17:44:57,"Mr_Devieux","@FluSeason_ @extraORRdINary Imma see about it but this here “hinge” changing the game. Preferences going foolay. https://t.co/Rz1qg1Sxxj","Tweetlogix",84,"x1104074523366834177","x133871400","FluSeason_",FALSE,FALSE,1,0,,,,,,"http://pbs.twimg.com/media/D1J2216XcAAk7ej.jpg","https://t.co/Rz1qg1Sxxj","https://twitter.com/Mr_Devieux/status/1104075545111945221/photo/1","photo","http://pbs.twimg.com/media/D1J2216XcAAk7ej.jpg","https://t.co/Rz1qg1Sxxj","https://twitter.com/Mr_Devieux/status/1104075545111945221/photo/1",,"x133871400 x155262281","FluSeason_ extraORRdINary","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Mr_Devieux/status/1104075545111945221","<U+063A><U+0631><U+064A><U+063A><U+0648><U+0631><U+064A>","Atlanta, GA","God's Son | Father | Sales Consultant | Seeker of The Light | SSU Taught Me | Brooklyn Born| Atlanta Adopted Me |",,FALSE,1021,679,20,48939,3886,2009-11-09 01:21:53,FALSE,,,"en","https://pbs.twimg.com/profile_banners/88558902/1449632064","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1001633154652925955/VNef0gDt_normal.jpg"
"x2866762047","x1104075157809909760",2019-03-08 17:43:25,"ucm_now","#SpringForward #springiscoming #fluseason #still #virtualER #heretohelp #compassionatecare https://t.co/cx5RdY3Awy","Twitter for iPhone",90,,,,FALSE,FALSE,0,0,"SpringForward springiscoming fluseason still virtualER heretohelp compassionatecare",,,,,"http://pbs.twimg.com/media/D1J2gL8X0AgozR6.jpg","https://t.co/cx5RdY3Awy","https://twitter.com/ucm_now/status/1104075157809909760/photo/1","photo","http://pbs.twimg.com/media/D1J2gL8X0AgozR6.jpg","https://t.co/cx5RdY3Awy","https://twitter.com/ucm_now/status/1104075157809909760/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ucm_now/status/1104075157809909760","United Concierge Medicine","United States","#VirtualER Treatment, Triage, Analytics. Combining #technology and #innovation to provide expert #healthcare and cost savings for patients and providers.","https://t.co/LjYgqBNxi3",FALSE,230,323,15,437,192,2014-11-08 03:27:56,FALSE,"https://t.co/LjYgqBNxi3","http://www.UCMnow.com","en","https://pbs.twimg.com/profile_banners/2866762047/1548699838","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/530930199961952257/BPI7SXd-_normal.jpeg"
"x100621390","x1104073865851035648",2019-03-08 17:38:16,"BeeeNICK","@FluSeason_ @ChiChi_knows LMFAO a meal is a lot? Wow","Twitter for Android",26,"x1104071174424686592","x133871400","FluSeason_",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x133871400 x244254250","FluSeason_ ChiChi_knows","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BeeeNICK/status/1104073865851035648","McLovin’. <U+0001F41D>","Philadelphia, PA","save your DMs, I'm good.",,FALSE,2943,1129,42,106494,49028,2009-12-30 23:16:54,FALSE,,,"en","https://pbs.twimg.com/profile_banners/100621390/1540236812","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1099766483318583297/A3ADN1ou_normal.jpg"
"x2425986630","x1104073064692809728",2019-03-08 17:35:05,"energyservicess","Handwashing habits improve when #fluseason hits, survey shows. #officesafety https://t.co/ugujCj1zUJ https://t.co/VkagZAEmLm","Hootsuite Inc.",100,,,,FALSE,FALSE,0,0,"fluseason officesafety",,"ow.ly/wOda30nXMVh","https://t.co/ugujCj1zUJ","http://ow.ly/wOda30nXMVh","http://pbs.twimg.com/media/D1J0mc0WwAEleJW.jpg","https://t.co/VkagZAEmLm","https://twitter.com/energyservicess/status/1104073064692809728/photo/1","photo","http://pbs.twimg.com/media/D1J0mc0WwAEleJW.jpg","https://t.co/VkagZAEmLm","https://twitter.com/energyservicess/status/1104073064692809728/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/energyservicess/status/1104073064692809728","EnergyServicesSouth","Livingston, AL","Energy Management Systems & Products","http://t.co/c78n2RilZc",FALSE,93,45,18,3620,0,2014-04-03 18:01:48,FALSE,"http://t.co/c78n2RilZc","http://www.energyservicessouth.com","en","https://pbs.twimg.com/profile_banners/2425986630/1400262839","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/467362017934708736/EMOxRqJK_normal.png"
"x2474465504","x1104060491486367744",2019-03-08 16:45:08,"edisonpowercons","Handwashing habits improve when #fluseason hits, survey shows. #officesafety https://t.co/jvLlrqDaa6 https://t.co/jyfZEjYHYA","Hootsuite Inc.",100,,,,FALSE,FALSE,0,0,"fluseason officesafety",,"ow.ly/sUye30nXMSW","https://t.co/jvLlrqDaa6","http://ow.ly/sUye30nXMSW","http://pbs.twimg.com/media/D1JpKnRW0AAWN7q.jpg","https://t.co/jyfZEjYHYA","https://twitter.com/edisonpowercons/status/1104060491486367744/photo/1","photo","http://pbs.twimg.com/media/D1JpKnRW0AAWN7q.jpg","https://t.co/jyfZEjYHYA","https://twitter.com/edisonpowercons/status/1104060491486367744/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/edisonpowercons/status/1104060491486367744","Edison Power","Phoenix, AZ","Edison Power Constructors - Powering the Future. We specialize in building, maintaining, and repairing electric transmission and distribution infrastructure.","http://t.co/CSpKBNkDIu",FALSE,159,77,15,2438,2,2014-05-02 19:45:48,FALSE,"http://t.co/CSpKBNkDIu","http://www.edisonpower.com/","en","https://pbs.twimg.com/profile_banners/2474465504/1551728560","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/462317377745469440/E8u1H0VS_normal.png"
"x1359572610","x1104036577070796800",2019-03-08 15:10:06,"PLHGroupInc","Handwashing habits improve when #fluseason hits, survey shows. #officesafety https://t.co/1WXWHkkPPT https://t.co/S19A04isgQ","Hootsuite Inc.",100,,,,FALSE,FALSE,0,0,"fluseason officesafety",,"ow.ly/Rtlu30nXMRO","https://t.co/1WXWHkkPPT","http://ow.ly/Rtlu30nXMRO","http://pbs.twimg.com/media/D1JTanIWkAIiORv.jpg","https://t.co/S19A04isgQ","https://twitter.com/PLHGroupInc/status/1104036577070796800/photo/1","photo","http://pbs.twimg.com/media/D1JTanIWkAIiORv.jpg","https://t.co/S19A04isgQ","https://twitter.com/PLHGroupInc/status/1104036577070796800/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PLHGroupInc/status/1104036577070796800","PLH Group, Inc.","Irving, Texas","PLH Group is a leading provider of construction and maintenance services to the electric power delivery and pipeline industries in North America.","http://t.co/n8vdQyuZTc",FALSE,331,223,31,6528,186,2013-04-17 14:42:59,FALSE,"http://t.co/n8vdQyuZTc","http://www.PLHGroupInc.com","en","https://pbs.twimg.com/profile_banners/1359572610/1548455941","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3560428004/eb2d7a673bb163a471180972fc8796bb_normal.jpeg"
"x47798025","x1104034344933437441",2019-03-08 15:01:14,"EBmedicine","#EMpractice recommends flu swabbing patients only in times of low disease prevalence. #FluSeason #EBMedicine https://t.co/BSdDWfalP0 https://t.co/bStxLNXOqr","SEMrush Social Media Tool",132,,,,FALSE,FALSE,1,0,"EMpractice FluSeason EBMedicine",,"bit.ly/2EPYXyM","https://t.co/BSdDWfalP0","http://bit.ly/2EPYXyM","http://pbs.twimg.com/media/D1JEFimXgAE_iJT.png","https://t.co/bStxLNXOqr","https://twitter.com/EBmedicine/status/1104034344933437441/photo/1","photo","http://pbs.twimg.com/media/D1JEFimXgAE_iJT.png","https://t.co/bStxLNXOqr","https://twitter.com/EBmedicine/status/1104034344933437441/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EBmedicine/status/1104034344933437441","EB Medicine","Norcross, GA","Publisher of Emergency Medicine Practice, Pediatric EM Practice, the LLSA Study Guide, Emergency Trauma Care, and Advances In Stoke Care.","https://t.co/yFkdduZqy1",FALSE,6546,7155,198,2865,318,2009-06-17 00:58:22,FALSE,"https://t.co/yFkdduZqy1","http://www.ebmedicine.net","en","https://pbs.twimg.com/profile_banners/47798025/1545940654","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/276798536/EB_Medicine_twitter_normal.png"
