,0
0,"closeVideoPro-Trump MAGA merch spotted on the 2019 Grammys Red CarpetJoy Villa and Ricky Rebel sport pro-Trump MAGA gear on the 2019 Grammys Red Carpet.LOS ANGELES – Joy Villa made her annual MAGA statement on the 2019 Grammys red carpet, and this time the ""Make America Great Again"" singer had some company: Ricky Rebel.
      Singer Joy Villa arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Villa, 27, dressed as a barbed wire border wall on her way into the Grammys with a silver dress and crown with a red Make America Great Again purse.MAGA SINGER ASKS, 'ARE WE LIVING IN 1984?'Once inside, she ditched the shell and showed off a low-cut gown emblazoned with bricks and a back that read, ""BUILD THE WALL.""
      LOS ANGELES, CA - FEBRUARY 10: Joy Villa attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)Villa told Fox News of her ensemble, “Well to no surprise, I’m still a Trump supporter and supporting the president and what he’s doing. This is my Make America Great Again purse and dress is by Desi Designs Couture, and it represents the wall.""JOY VILLA SAYS DONALD TRUMP-THEMED GRAMMYS GOWN WAS A 'STATEMENT OF LOVE'She added, ""One in three women who are trying to come to this country illegally are sexually assaulted. Thousands of children are sexually exploited by coyotes bringing them across the border. Seventy percent of the heroin in our nation is brought in through Mexico. This is not personal against this country or the people. It’s not about race. It’s about protecting the people who are in this country. I’m Latina, I’m black. I support what the president says about building the wall, so that's what this dress represents.""JOY VILLA ON WHY SHE'S PRO-LIFE AND ANTI-ABORTIONRebel, 38, sported a blue jacket that read ""KEEP AMERICA GREAT AGAIN"" down the front lapels with a white shirt and pants. He accessorized with patriotic star glasses and white heeled boots.
      LOS ANGELES, CA - FEBRUARY 10: Ricky Rebel attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)CLICK HERE TO GET THE FOX NEWS APPThe back of Rebel's jacket simply read ""TRUMP.""
      Singer Ricky Rebel arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Last year, Villa sported a pro-life message on the Grammys red carpet.In 2017, she wore a ""Make America Great Again"" gown to music's biggest night.The Scientologist singer previously mulled over running for Congress.JOY VILLA: MR. TRUMP, PLEASE HEAR MY HEARTFELT PLEAShe told us of potential backlash to her MAGA style, ""Ignore it, keep preaching what I believe in and say ‘Hey listen, there’s a place for all beliefs.' There should be space. Our first amendment right is free speech, so we should all be able to weigh in and think about what the president does. It shouldn’t just be one sided, ‘oh #resist!’ what about #MAGA?What about all the other people? Brown, black, Latina, Mexican, Indonesian. There’s tons Trump supporters out there all of differnet colors. I know, I am one [and] I hang out with them.""JOY VILLA ON WHY KANYE WEST'S SUPPORT OF DONALD TRUMP IS 'MONUMENTAL'She added of the border wall, ""Obama wanted to build a wall. Clinton wanted to build a wall. It’s nothing new. But I believe he’s the one that’s going to ge it done."""
1,"closeVideoPro-Trump MAGA merch spotted on the 2019 Grammys Red CarpetJoy Villa and Ricky Rebel sport pro-Trump MAGA gear on the 2019 Grammys Red Carpet.LOS ANGELES – Joy Villa made her annual MAGA statement on the 2019 Grammys red carpet, and this time the ""Make America Great Again"" singer had some company: Ricky Rebel.
      Singer Joy Villa arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Villa, 27, dressed as a barbed wire border wall on her way into the Grammys with a silver dress and crown with a red Make America Great Again purse.MAGA SINGER ASKS, 'ARE WE LIVING IN 1984?'Once inside, she ditched the shell and showed off a low-cut gown emblazoned with bricks and a back that read, ""BUILD THE WALL.""
      LOS ANGELES, CA - FEBRUARY 10: Joy Villa attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)Villa told Fox News of her ensemble, “Well to no surprise, I’m still a Trump supporter and supporting the president and what he’s doing. This is my Make America Great Again purse and dress is by Desi Designs Couture, and it represents the wall.""JOY VILLA SAYS DONALD TRUMP-THEMED GRAMMYS GOWN WAS A 'STATEMENT OF LOVE'She added, ""One in three women who are trying to come to this country illegally are sexually assaulted. Thousands of children are sexually exploited by coyotes bringing them across the border. Seventy percent of the heroin in our nation is brought in through Mexico. This is not personal against this country or the people. It’s not about race. It’s about protecting the people who are in this country. I’m Latina, I’m black. I support what the president says about building the wall, so that's what this dress represents.""JOY VILLA ON WHY SHE'S PRO-LIFE AND ANTI-ABORTIONRebel, 38, sported a blue jacket that read ""KEEP AMERICA GREAT AGAIN"" down the front lapels with a white shirt and pants. He accessorized with patriotic star glasses and white heeled boots.
      LOS ANGELES, CA - FEBRUARY 10: Ricky Rebel attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)CLICK HERE TO GET THE FOX NEWS APPThe back of Rebel's jacket simply read ""TRUMP.""
      Singer Ricky Rebel arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Last year, Villa sported a pro-life message on the Grammys red carpet.In 2017, she wore a ""Make America Great Again"" gown to music's biggest night.The Scientologist singer previously mulled over running for Congress.JOY VILLA: MR. TRUMP, PLEASE HEAR MY HEARTFELT PLEAShe told us of potential backlash to her MAGA style, ""Ignore it, keep preaching what I believe in and say ‘Hey listen, there’s a place for all beliefs.' There should be space. Our first amendment right is free speech, so we should all be able to weigh in and think about what the president does. It shouldn’t just be one sided, ‘oh #resist!’ what about #MAGA?What about all the other people? Brown, black, Latina, Mexican, Indonesian. There’s tons Trump supporters out there all of differnet colors. I know, I am one [and] I hang out with them.""JOY VILLA ON WHY KANYE WEST'S SUPPORT OF DONALD TRUMP IS 'MONUMENTAL'She added of the border wall, ""Obama wanted to build a wall. Clinton wanted to build a wall. It’s nothing new. But I believe he’s the one that’s going to ge it done."""
2,"closeVideoPro-Trump MAGA merch spotted on the 2019 Grammys Red CarpetJoy Villa and Ricky Rebel sport pro-Trump MAGA gear on the 2019 Grammys Red Carpet.LOS ANGELES – Joy Villa made her annual MAGA statement on the 2019 Grammys red carpet, and this time the ""Make America Great Again"" singer had some company: Ricky Rebel.
      Singer Joy Villa arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Villa, 27, dressed as a barbed wire border wall on her way into the Grammys with a silver dress and crown with a red Make America Great Again purse.MAGA SINGER ASKS, 'ARE WE LIVING IN 1984?'Once inside, she ditched the shell and showed off a low-cut gown emblazoned with bricks and a back that read, ""BUILD THE WALL.""
      LOS ANGELES, CA - FEBRUARY 10: Joy Villa attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)Villa told Fox News of her ensemble, “Well to no surprise, I’m still a Trump supporter and supporting the president and what he’s doing. This is my Make America Great Again purse and dress is by Desi Designs Couture, and it represents the wall.""JOY VILLA SAYS DONALD TRUMP-THEMED GRAMMYS GOWN WAS A 'STATEMENT OF LOVE'She added, ""One in three women who are trying to come to this country illegally are sexually assaulted. Thousands of children are sexually exploited by coyotes bringing them across the border. Seventy percent of the heroin in our nation is brought in through Mexico. This is not personal against this country or the people. It’s not about race. It’s about protecting the people who are in this country. I’m Latina, I’m black. I support what the president says about building the wall, so that's what this dress represents.""JOY VILLA ON WHY SHE'S PRO-LIFE AND ANTI-ABORTIONRebel, 38, sported a blue jacket that read ""KEEP AMERICA GREAT AGAIN"" down the front lapels with a white shirt and pants. He accessorized with patriotic star glasses and white heeled boots.
      LOS ANGELES, CA - FEBRUARY 10: Ricky Rebel attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)CLICK HERE TO GET THE FOX NEWS APPThe back of Rebel's jacket simply read ""TRUMP.""
      Singer Ricky Rebel arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Last year, Villa sported a pro-life message on the Grammys red carpet.In 2017, she wore a ""Make America Great Again"" gown to music's biggest night.The Scientologist singer previously mulled over running for Congress.JOY VILLA: MR. TRUMP, PLEASE HEAR MY HEARTFELT PLEAShe told us of potential backlash to her MAGA style, ""Ignore it, keep preaching what I believe in and say ‘Hey listen, there’s a place for all beliefs.' There should be space. Our first amendment right is free speech, so we should all be able to weigh in and think about what the president does. It shouldn’t just be one sided, ‘oh #resist!’ what about #MAGA?What about all the other people? Brown, black, Latina, Mexican, Indonesian. There’s tons Trump supporters out there all of differnet colors. I know, I am one [and] I hang out with them.""JOY VILLA ON WHY KANYE WEST'S SUPPORT OF DONALD TRUMP IS 'MONUMENTAL'She added of the border wall, ""Obama wanted to build a wall. Clinton wanted to build a wall. It’s nothing new. But I believe he’s the one that’s going to ge it done."""
3,"closeVideoPro-Trump MAGA merch spotted on the 2019 Grammys Red CarpetJoy Villa and Ricky Rebel sport pro-Trump MAGA gear on the 2019 Grammys Red Carpet.LOS ANGELES – Joy Villa made her annual MAGA statement on the 2019 Grammys red carpet, and this time the ""Make America Great Again"" singer had some company: Ricky Rebel.
      Singer Joy Villa arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Villa, 27, dressed as a barbed wire border wall on her way into the Grammys with a silver dress and crown with a red Make America Great Again purse.MAGA SINGER ASKS, 'ARE WE LIVING IN 1984?'Once inside, she ditched the shell and showed off a low-cut gown emblazoned with bricks and a back that read, ""BUILD THE WALL.""
      LOS ANGELES, CA - FEBRUARY 10: Joy Villa attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)Villa told Fox News of her ensemble, “Well to no surprise, I’m still a Trump supporter and supporting the president and what he’s doing. This is my Make America Great Again purse and dress is by Desi Designs Couture, and it represents the wall.""JOY VILLA SAYS DONALD TRUMP-THEMED GRAMMYS GOWN WAS A 'STATEMENT OF LOVE'She added, ""One in three women who are trying to come to this country illegally are sexually assaulted. Thousands of children are sexually exploited by coyotes bringing them across the border. Seventy percent of the heroin in our nation is brought in through Mexico. This is not personal against this country or the people. It’s not about race. It’s about protecting the people who are in this country. I’m Latina, I’m black. I support what the president says about building the wall, so that's what this dress represents.""JOY VILLA ON WHY SHE'S PRO-LIFE AND ANTI-ABORTIONRebel, 38, sported a blue jacket that read ""KEEP AMERICA GREAT AGAIN"" down the front lapels with a white shirt and pants. He accessorized with patriotic star glasses and white heeled boots.
      LOS ANGELES, CA - FEBRUARY 10: Ricky Rebel attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)CLICK HERE TO GET THE FOX NEWS APPThe back of Rebel's jacket simply read ""TRUMP.""
      Singer Ricky Rebel arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Last year, Villa sported a pro-life message on the Grammys red carpet.In 2017, she wore a ""Make America Great Again"" gown to music's biggest night.The Scientologist singer previously mulled over running for Congress.JOY VILLA: MR. TRUMP, PLEASE HEAR MY HEARTFELT PLEAShe told us of potential backlash to her MAGA style, ""Ignore it, keep preaching what I believe in and say ‘Hey listen, there’s a place for all beliefs.' There should be space. Our first amendment right is free speech, so we should all be able to weigh in and think about what the president does. It shouldn’t just be one sided, ‘oh #resist!’ what about #MAGA?What about all the other people? Brown, black, Latina, Mexican, Indonesian. There’s tons Trump supporters out there all of differnet colors. I know, I am one [and] I hang out with them.""JOY VILLA ON WHY KANYE WEST'S SUPPORT OF DONALD TRUMP IS 'MONUMENTAL'She added of the border wall, ""Obama wanted to build a wall. Clinton wanted to build a wall. It’s nothing new. But I believe he’s the one that’s going to ge it done."""
4,"
(“The Late Show”)Stephen Colbert, the host of “The Late Show,” on Monday tore into President Trump for “folding like an origami swan” in negotiations over funding for his long-promised border wall, and said the president is threatening another shutdown and making the same demands.Colbert cited a Wall Street Journal report that quoted the president saying he doubts that he’d accept anything short of the $5.7 billion for the wall in about three weeks.CAPITOL ATTITUDE: Why Democrats are unlikely to budge on next round of border security negotiations""So, just to be clear,"" Colbert said during his monologue. ""He’s making the exact same offer, backed by the exact same threat, but somehow he expects different results. Well, you know what they say, the definition of insanity is Donald Trump.""Colbert was making a play on the famous quote most commonly associated with Albert Einstein, ""The definition of insanity is doing the same thing over and over and expecting different results."""
5,"closeVideoThe Killers' newest track 'Land of the Free' gets political as the song focuses on the border wall and gun violenceThe Killers' newest track and music video directed by Spike Lee, 'Land of the Free,' gets political focusing on the border wall and gun violence.The Killers' newest track “Land of the Free” enters the political fray as the song focuses on the border wall and gun violence in the United States.The song’s music video was directed by Academy Award-winning director Spike Lee and showed images of migrants traveling to the U.S. over the border the country shares with Mexico. Rolling Stone reported Lee was given “full creative control” of the video.The Killers lead singer Brandon Flowers is heard singing, “When I go out in my car, I don’t think twice but if you’re the wrong color skin [I’m standing crying].”JAMIE FOXX URGES POLITICIANS TO STOP 'OUR SIDE VERSUS YOUR SIDE' MENTALITY WHEN IT COMES TO GUN VIOLENCEThe song mentions mass incarceration and gun control.“So how many daughters, tell me how many sons do we have to put in the ground before we just break down and face it, we got a problem with guns,” Flowers sings.The song concludes with Flowers singing that migrants just “want the same things we do in the land of the free.”“Down at the border, they’re gonna put up a wall, concrete and rebar steel beams high enough to keep all those filthy hands off our hopes and our dreams,” he sang.The song's debut comes amid the partial government shutdown, which is in its fourth week and the longest in history. Republicans and Democrats have been unable to come to an agreement over Trump’s demand for $5.7 billion in funding for a border wall or a barrier.CLICK HERE TO GET THE FOX NEWS APPFlowers wrote in a statement on Facebook that he loved the U.S. but believed “that we can do better.” He said he wrote the song after the number of mass shootings in the U.S.“In the months and years that followed, America would be hit with an onslaught of more mass shootings of innocents and too many examples of racial injustice to ignore,” he wrote.Flowers said he “couldn’t help but sit down and commit how I was feeling into a song” after he did some “soul searching.”“We dishonor our values, our ancestors and our heritage when we tear gas our brothers and sisters seeking asylum,” he wrote.Fox News' Adam Shaw contributed to this report."
6,"closeVideoThe Killers' newest track 'Land of the Free' gets political as the song focuses on the border wall and gun violenceThe Killers' newest track and music video directed by Spike Lee, 'Land of the Free,' gets political focusing on the border wall and gun violence.The Killers' newest track “Land of the Free” enters the political fray as the song focuses on the border wall and gun violence in the United States.The song’s music video was directed by Academy Award-winning director Spike Lee and showed images of migrants traveling to the U.S. over the border the country shares with Mexico. Rolling Stone reported Lee was given “full creative control” of the video.The Killers lead singer Brandon Flowers is heard singing, “When I go out in my car, I don’t think twice but if you’re the wrong color skin [I’m standing crying].”JAMIE FOXX URGES POLITICIANS TO STOP 'OUR SIDE VERSUS YOUR SIDE' MENTALITY WHEN IT COMES TO GUN VIOLENCEThe song mentions mass incarceration and gun control.“So how many daughters, tell me how many sons do we have to put in the ground before we just break down and face it, we got a problem with guns,” Flowers sings.The song concludes with Flowers singing that migrants just “want the same things we do in the land of the free.”“Down at the border, they’re gonna put up a wall, concrete and rebar steel beams high enough to keep all those filthy hands off our hopes and our dreams,” he sang.The song's debut comes amid the partial government shutdown, which is in its fourth week and the longest in history. Republicans and Democrats have been unable to come to an agreement over Trump’s demand for $5.7 billion in funding for a border wall or a barrier.CLICK HERE TO GET THE FOX NEWS APPFlowers wrote in a statement on Facebook that he loved the U.S. but believed “that we can do better.” He said he wrote the song after the number of mass shootings in the U.S.“In the months and years that followed, America would be hit with an onslaught of more mass shootings of innocents and too many examples of racial injustice to ignore,” he wrote.Flowers said he “couldn’t help but sit down and commit how I was feeling into a song” after he did some “soul searching.”“We dishonor our values, our ancestors and our heritage when we tear gas our brothers and sisters seeking asylum,” he wrote.Fox News' Adam Shaw contributed to this report."
7,"closeVideoPro-Trump MAGA merch spotted on the 2019 Grammys Red CarpetJoy Villa and Ricky Rebel sport pro-Trump MAGA gear on the 2019 Grammys Red Carpet.LOS ANGELES – Joy Villa made her annual MAGA statement on the 2019 Grammys red carpet, and this time the ""Make America Great Again"" singer had some company: Ricky Rebel.
      Singer Joy Villa arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Villa, 27, dressed as a barbed wire border wall on her way into the Grammys with a silver dress and crown with a red Make America Great Again purse.MAGA SINGER ASKS, 'ARE WE LIVING IN 1984?'Once inside, she ditched the shell and showed off a low-cut gown emblazoned with bricks and a back that read, ""BUILD THE WALL.""
      LOS ANGELES, CA - FEBRUARY 10: Joy Villa attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)Villa told Fox News of her ensemble, “Well to no surprise, I’m still a Trump supporter and supporting the president and what he’s doing. This is my Make America Great Again purse and dress is by Desi Designs Couture, and it represents the wall.""JOY VILLA SAYS DONALD TRUMP-THEMED GRAMMYS GOWN WAS A 'STATEMENT OF LOVE'She added, ""One in three women who are trying to come to this country illegally are sexually assaulted. Thousands of children are sexually exploited by coyotes bringing them across the border. Seventy percent of the heroin in our nation is brought in through Mexico. This is not personal against this country or the people. It’s not about race. It’s about protecting the people who are in this country. I’m Latina, I’m black. I support what the president says about building the wall, so that's what this dress represents.""JOY VILLA ON WHY SHE'S PRO-LIFE AND ANTI-ABORTIONRebel, 38, sported a blue jacket that read ""KEEP AMERICA GREAT AGAIN"" down the front lapels with a white shirt and pants. He accessorized with patriotic star glasses and white heeled boots.
      LOS ANGELES, CA - FEBRUARY 10: Ricky Rebel attends the 61st Annual GRAMMY Awards at Staples Center on February 10, 2019 in Los Angeles, California. (Photo by Steve Granitz/WireImage)
      (Getty)CLICK HERE TO GET THE FOX NEWS APPThe back of Rebel's jacket simply read ""TRUMP.""
      Singer Ricky Rebel arrives for the 61st Annual Grammy Awards on February 10, 2019, in Los Angeles. (Photo by VALERIE MACON / AFP) (Photo credit should read VALERIE MACON/AFP/Getty Images)
      (Getty)Last year, Villa sported a pro-life message on the Grammys red carpet.In 2017, she wore a ""Make America Great Again"" gown to music's biggest night.The Scientologist singer previously mulled over running for Congress.JOY VILLA: MR. TRUMP, PLEASE HEAR MY HEARTFELT PLEAShe told us of potential backlash to her MAGA style, ""Ignore it, keep preaching what I believe in and say ‘Hey listen, there’s a place for all beliefs.' There should be space. Our first amendment right is free speech, so we should all be able to weigh in and think about what the president does. It shouldn’t just be one sided, ‘oh #resist!’ what about #MAGA?What about all the other people? Brown, black, Latina, Mexican, Indonesian. There’s tons Trump supporters out there all of differnet colors. I know, I am one [and] I hang out with them.""JOY VILLA ON WHY KANYE WEST'S SUPPORT OF DONALD TRUMP IS 'MONUMENTAL'She added of the border wall, ""Obama wanted to build a wall. Clinton wanted to build a wall. It’s nothing new. But I believe he’s the one that’s going to ge it done."""
8,"closeVideoThe 2019 Ram Heavy Duty is the world's strongest pickupThe 2019 Ram Heavy Duty pickup is available with a new diesel engine that can tow over 35,000 pounds and brand boss Reid Bigland says its customers want to do just that.The federal government shutdown could start affecting vehicle sales in a big way.Not because its agencies and employees don’t have the money to buy them, but because they’re not at work to certify new models for sale.Fiat Chrysler CEO Mike Manley told The Detroit News that the shutdown has stalled EPA approval for one of the new heavy duty pickups it revealed at the Detroit Auto Show this week.Ram is planning to put the important models on sale this spring, and has the greenlight to sell the Ram 2500 truck, but the Ram 3500 that made headlines with the most powerful pickup engine ever has yet to have its papers stamped.The EPA might not even need to conduct its own testing on the trucks. Automakers submit their own internal results for approval, and the agency only spot-checks 10 to 15 percent of them with its own evaluations. However, diesel vehicles like the Ram 3500 have been targeted for increased scrutiny after several automakers, including Fiat Chrysler, have been cited for emissions violations in recent years.Heavy Duty trucks account for over a quarter of Ram’s pickup sales, and the automaker is hoping to leverage the buzz created by the Ram 3500’s segment-leading 35,100-pound towing rating before General Motors introduces its new updated HD models later in the year.GM confirmed to the newspaper that a number of its 2020 models are also being held up by the EPA process, but declined to reveal which ones.Ford would not comment on the topic."
9,"
          Kenan Thompson as Steve Harvey and Alec Baldwin as Donald Trump in ""Saturday Night Live"" sketch ""Deal or No Deal: Government Shutdown Edition""
          ""Saturday Night Live"" took on the government shutdown in their cold open, featuring Alec Baldwin as Donald Trump, Kate McKinnon as Nancy Pelosi and Kenan Thompson as Steve Harvey in ""Deal or No Deal: Government Shutdown Edition.""DONALD TRUMP TWEETS NBC, 'SNL' SHOULD BE TESTED BY THE COURTS""SNL"" spoofed several ""deals"" that President Trump has fielded since the government first shut down last month, including one bit in which he said ""no deal"" to Congress' offer in December, countering with ""$5 billion for my border wall, and in exchange I'll extend DACA and release the kids from the cages so they can be free range kids.""TRUMP OFFERS IMMIGRATION COMPROMISE TO END PARTIAL SHUTDOWNBaldwin's Trump was told in the sketch that every time he opted for ""no deal"" that 500,000 federal employees didn't get paid, which didn't sway him.CLICK HERE TO GET THE FOX NEWS APPThe ""Deal or No Deal"" briefcase models — which once famously included now-Duchess of Sussex Meghan Markle — were replaced by McKinnon's Pelosi (who offered Baldwin's Trump ""one billion dollars and you say, 'Nancy’s my mommy,'"" and was rejected), Alex Moffat as Chuck Schumer (who offered Trump ""whatever you want,"" then switched it to ""$15 and a pastrami on rye"" after needling from Pelosi) and Beck Bennett as Mitch McConnell (who tried hiding behind his briefcase).'SNL' TOUGHER ON TRUMP THAN PAST PRESIDENTS, BUT NBC WON'T LET UP ANYTIME SOON, CRITICS SAYOther briefcase models included Leslie Jones as Maxine Waters (who said she could subpoena Trump's tax returns), Melissa Villasenor as Alexandria Ocasio-Cortez (who Baldwin's Trump thought was rapper Cardi B), Chris Redd as Cory Booker (whose briefcase held nothing but a ""Cory Booker 2020"" sign) and Mikey Day as Steve King, who just said ""whites.""MILEY CYRUS RISKS A NIP-SLIP ON 'SATURDAY NIGHT LIVE'
      ""Saturday Night Live"" sketch ""Deal or No Deal: Government Shutdown Edition""
      Ego Nwodim also appeared as a briefcase model version of Cardi B, quipping, ""I know this ain't my business but ... shmoney!"" (Cardi B famously attacked Trump last week over the shutdown in an Instagram rant that several Democrats considered retweeting, but didn't.)ALEXANDRIA OCASIO-CORTEZ BACKS CARDI B AFTER VIRAL, PROFANE TRUMP TAKEDOWNPete Davidson played Clemson football player holding not a briefcase, but instead a White Castle Crave Case box, poking fun at Trump's fast food offering to the team. The box contained a sign that said ""hamberders,"" prompting an enthused Trump to end the shutdown because he hadn't ""eaten a hamburger in about 15 minutes.""The jabs weren't solely directed at President Trump — McKinnon's Pelosi hinted that she was ""drunk off [her] own power,"" while Villasenor's Ocasio-Cortez cracked that the GOP was ""terrified"" of her because she's ""under 100."""
