,0
0,https://www.nytimes.com/2019/04/01/world/americas/mexico-migration-border.html
1,https://www.nytimes.com/2019/01/14/us/troops-border-wall.html
2,https://www.nytimes.com/2019/04/15/lens/pulitzers-photography-yemen-central-america.html
3,https://www.nytimes.com/2019/03/21/lens/central-americans-migrate-united-states.html
4,https://www.nytimes.com/2019/02/06/world/americas/trump-state-union-migrants-border.html
5,https://www.nytimes.com/reuters/2019/04/20/world/americas/20reuters-usa-immigration-mexico.html
6,https://www.nytimes.com/2019/03/29/us/politics/trump-mexico-illegal-immigration.html
7,https://www.nytimes.com/2019/04/17/opinion/republican-party-immigration.html
8,https://www.nytimes.com/2019/02/07/us/immigrant-detainee-letters.html
9,https://www.nytimes.com/2019/03/31/us/politics/trump-mulvaney-border-close-mexico.html
10,https://www.nytimes.com/2019/04/11/lens/is-this-the-best-photo-of-the-year.html
11,https://www.nytimes.com/2019/01/29/opinion/senate-intelligence-hearing.html
12,https://www.nytimes.com/2019/04/11/us/politics/sanctuary-cities-trump.html
13,https://www.nytimes.com/2019/01/18/us/politics/fact-check-trump-prayer-rugs-border.html
14,https://www.nytimes.com/2019/01/16/opinion/open-borders-immigration.html
15,https://www.nytimes.com/2019/01/29/us/politics/border-troops-pentagon.html
16,https://www.nytimes.com/2019/03/08/us/san-francisco-tech-wealth.html
17,https://www.nytimes.com/2019/01/14/opinion/trump-government-shutdown.html
18,https://www.nytimes.com/2019/01/08/opinion/president-trump-speech.html
19,https://www.nytimes.com/2019/04/20/world/americas/mexico-migrants-president.html
20,https://www.nytimes.com/2019/03/15/opinion/new-zealand-mosque-shooting.html
21,https://www.nytimes.com/2019/03/31/briefing/brexit-offshore-drilling-ncaa.html
22,https://www.nytimes.com/2019/02/11/us/california-today-biddy-mason-los-angeles.html
23,https://www.nytimes.com/2019/04/12/us/politics/democrats-republicans-2020.html
24,https://www.nytimes.com/2019/03/08/briefing/paul-manafort-venezuela-international-womens-day.html
25,https://www.nytimes.com/2019/02/06/us/politics/trump-sotu-2020.html
26,https://www.nytimes.com/2019/01/05/world/americas/tijuana-mexico-migrant-caravan.html
27,https://www.nytimes.com/2019/02/08/us/border-wall-states.html
28,https://www.nytimes.com/2019/02/03/us/politics/trump-state-of-the-union.html
29,https://www.nytimes.com/2019/04/14/us/politics/trump-immigration-stephen-miller.html
30,https://www.nytimes.com/2019/02/16/us/border-migrants-asylum-mexico-aclu.html
31,https://www.nytimes.com/2019/01/10/us/politics/on-politics-shutdown-democrats-republicans.html
32,https://www.nytimes.com/2019/01/10/us/politics/steve-king-trump-immigration-wall.html
33,https://www.nytimes.com/interactive/2019/04/03/magazine/new-fox-corporation-disney-deal.html
