,0
0,"@realDonaldTrump @POTUS
When is the last time EPA did something good? This is an excess bureaucracy. You should shu… https://t.co/qhP8ADdkRp"
1,Home Depot Sponsors 129 Miles of Trump's Border Wall https://t.co/9V17U0hayf
2,"I don't believe that it's out of cruelty that peeps want a wall. Immigration needs to be controlled. Terrorists, ga… https://t.co/OtraD0CcwK"
3,"Now. how about that Border security Nancy?
How about getting to work FOR the American People instead of Trump Bashi… https://t.co/OJFxvlKT5a"
4,"@KerriJersey @fix_dan @WalshFreedom @ShnydaOne Reading is fundamental

https://t.co/erUWTPuZE1"
5,"We challenged @TomPerez &amp; @TheDemocrats to sign up for https://t.co/debsISovV9 &amp; so far no response from them. 
Are… https://t.co/DMlmBQkcJo"
6,"I've become obsessed with Quilting this year. I started the first of January, and I've completed 5 projects, and ha… https://t.co/QTxKLMBWb9"
7,@s96677980 @FitzpatriotBrad @GoodbyeCali @Antipropaganda7 @Samarino1776 @william96456209 @Sambyhere @TWITMO_INMATE… https://t.co/NmbrbdJjWu
8,"""He said the organization plans to remain on the border until the extended wall proposed by President Trump is buil… https://t.co/zBxy5WLYhm"
9,Home Depot Sponsors 129 Miles of Trump's Border Wall https://t.co/kkceBgkczR
10,@realDonaldTrump Just curious...are you willing to launch an investigation into how many people who shared stories… https://t.co/ElNwmNujZB
11,"listen to understand the *function* of the border, under the system of capitalism. ""we don't have open borders for… https://t.co/vB8muuh2Ek"
12,@FAIRImmigration @BreitbartNews @JxhnBinder Time to finish the wall and shore up the Border Patrol too.
13,"@FAIRImmigration @BreitbartNews @JxhnBinder ARM THE BORDER AND BUILD THE WALL!
WHAT ARE WE WAITING FOR?  WE CAN'T A… https://t.co/c4EGdcyfl1"
14,@RealJack YES ! Tax all the democRats in sanctuary states 🐀 &amp; then We Will Have More Money to build the wall on our… https://t.co/c6ZUTjKlDR
15,buiding a wall at the mexican border is the best thing we can do. the cost will be offset in a year for all the aid… https://t.co/4aakc73GEQ
16,ANOTHER BRICK IN THE WALL: Dinesh D'Souza destroys the open border argument https://t.co/zn8GJB9zev via @YouTube
17,"@sueann_sorensen @HoustonChron Sue: boarder-person who receives regular meals when staying somewhere, in return for… https://t.co/5fAQhTcihU"
18,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/Qr5QeM69On
19,US states led by California sue Trump administration in showdown over border wall funds - Donald Trump's America -… https://t.co/krVtryTq5M
20,@GrahamLedger So @POTUS use the power of your pen! Build that Wall hire more judges Border Agents and ship them to… https://t.co/0U5MoGCV3H
21,"That wall is getting built! 

https://t.co/J2fKB9ZN7U"
22,"In The Shadow Of The Wall, the people experiences the encounters of the U.S. border patrol, cartels, and the detent… https://t.co/VK70Asu1o3"
23,@SenFeinstein What have you done to fund the  building of the border wall and correct our immigration laws. Nothing? #BuildTheWall
24,https://t.co/88BMBmxNnt https://t.co/nv75AHX9lv
25,@seanhannity @ShirleyRinguet5 @JaySekulow @PressSec @DevinNunes @GreggJarrett @SaraCarterDC @marklevinshow Wall to… https://t.co/3ha6IZvYwY
26,"Yeah, we need to build a wall across the border.  We finally have 11 miles of the neat, new, transparent wall thank… https://t.co/C4QBKvDUpp"
27,@SenKamalaHarris BUILD THAT WALL NOW TRIPLE ICE AND BORDER PATROL E- VERIFY AND DEPORT NO AMNESTY NO CHAIN IMMIGRAT… https://t.co/NdvYUpD7bV
28,@Bsmithslo @peterbakernyt @sbg1 And have Mexico pay to build our border wall.
29,@DanWerner10 @mschlapp @SebGorka Yeah true they are sneaky little devils so you better rush the border and stop the… https://t.co/JXgHloPnS7
30,Democrats spent 25 Billion on bogus investigation and won't fund a wall on our southern border!
31,Cross border solidarity would be the most devastating thing to the border wall project. #marxism2019 #teardownthewalls
32,"@marklevinshow GEE, THAT'S REALLY TOO DAMN BAD THAT SOME ILLEGAL MIGHT BE OFFENDED ENOUGH TO JUMP BACK OVER THE BOR… https://t.co/Ku9wR3KdYG"
33,@Rharvley @IlhanMN Republicans won’t pass anything helps people. They want only to pass a wall which steals land &amp;… https://t.co/wWJyHefoCA
34,U.S. Customs and Border Protection installs El Paso border wall https://t.co/s8iWQ5fh7f via @YouTube
35,WOOHOO!!! WAY TO GO HOME DEPOT!!! See now I'm doubly glad I came to your store instead of Lowes to buy my fencing a… https://t.co/YdXIDI9yOk
36,"U.S. Boxer Rocks Trump Border Wall Shorts, Gets Crushed By Mexican Opponent https://t.co/VEZPWkLxxu"
37,@cshields671 @dbongino @HillaryClinton @BarackObama Don’t change the subject.  I don’t care about Clinton and Obama… https://t.co/KYRhbQEfkX
38,"This is the kind of cheesy idea I can get behind.

https://t.co/Ck8irCvi8U"
39,"Striking workers, led mainly by women in the factories of Mexico threaten the whole border wall project that is pro… https://t.co/TchVLx4UJs"
40,@RealMattCouch Stand still while I build a border wall around you.
41,"Expose the waste in a #borderwall by donating to the #CheeseWall at the U.S.-Mexico border today!

Artist Cosimo Ca… https://t.co/blFZFw3jJB"
42,"A Death, a Life, and a Border Wall"
43,"U.S. Boxer Rocks Trump Border Wall Shorts, Gets Crushed By Mexican Opponent | https://t.co/cRQCoQAXz5 https://t.co/xGZ2YFnnRh"
44,"Coulter Says She Could Work for a Sanders Administration
https://t.co/8N0bQBAYNy

Whatever respect I once had for C… https://t.co/OT41RvJBFS"
45,@GregAbbott_TX @leachfortexas Build the wall!  Protect the border!
46,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/hfL7F3x5Ev
47,"@cbschicago Forget building a wall along the border, put it on the southside."
48,RT NRCC: Should Congress finish building the wall at our southern border? Take the poll now before it closes: https://t.co/IuVxQdw7RN
