,0
0,Because 50 state of citizens borrowing fiscal political activities MAGA-G-20 G-13-G-16 banking Federal employees li… https://t.co/GGI3X40qx3
1,"@BernieSanders Yes, because more federal employees is what the country needs..."
2,@fras99 He will be before Benedict Arnold as a USA traitor.  Ethics training for federal employees will feature  hi… https://t.co/4cFi4EKR4W
3,@potus is on Twitter publicly attacking US Government employees for cooperating with an official federal law enforc… https://t.co/Ax6PBmpmlW
4,"This group of federal employees colluded &amp; conspired to help their political candidate win, and when that candidate… https://t.co/SV62BUnaxD"
5,#Boeing‘s S. Carolina factory has been plagued by shoddy production and weak oversight that have threatened to comp… https://t.co/0HkynmmVte
6,"@Clarknt67 @shaunking If you treat your employees with disdain and contempt, if you cannot be a good and responsibl… https://t.co/Bl55TwsB0x"
7,@realDonaldTrump A shameful waste of taxpayer money. Time to remind some federal employees who pays their salaries… https://t.co/pVCzhh5SfR
8,"@POTUS @senatemajldr @BernieSanders @dbongino @MariaBartiromo Obamacare has a Cadillac Plan for Federal Employees,… https://t.co/houuRIG8a1"
9,"According to the paper, plant employees described defective manufacturing, debris left on planes and pressure to no… https://t.co/sisfG9FwFn"
10,@Alec_Holbeck @thehill Asking federal employees to break the law is not upholding the constitution. https://t.co/BWLlYdtgIq
11,"A New York Times review of hundreds of pages of internal emails, corporate documents and federal records, as well a… https://t.co/0INcYGxjd0"
12,"@moose_chef Availability..Kids keep forgetting just because it is legal in the state, it is not legal for federal employees lol"
13,"@smallgovttweets @peabodypress You're totally brain dead and we do have limited government

2.1 million federal emp… https://t.co/OT31DsMpRn"
14,"@AmazonHelp @jobsearchninja The Prohibited Personnel Practices Act amended United States Code, Title 5: Government… https://t.co/O1wST3zAz6"
15,"@Elijah_925 @OmarKelly If you, as the manager, only allowed your employees to earn $2.83/hr after tips then you are… https://t.co/tb3Lm8uB2A"
16,@oneillyatescbc @DamnAnimals There's rules &amp; policies outlined for provincial &amp; federal employees -… https://t.co/CkJHS3bv0H
17,@Dkaz006_RS @smilleresq @JohnGacy1 @BernieSanders And in addition to what Scott wrote.....every one of their employ… https://t.co/XFMfHKanuP
18,Are any of my Facebook associates ACTIVELY involved with the National Association of Active &amp; Retired Federal Emplo… https://t.co/jpDTnAmnu2
19,"Today is National Marijuana Day, a sort of holiday for federal employees in some capacity, perhaps they will be too… https://t.co/Hc7dG2fVmh"
20,"@BernieSanders Bernie, do you have a single proposal that doesn’t bend the taxpayers over. Federal employees cost t… https://t.co/jfg7AFLbpf"
21,@0xbanana @QW5kcmV3 @Malwarebytes @MalwareTechBlog @rapid7 Most of this is a combination of realizing how willingly… https://t.co/aObdDwajkj
22,"@EricHolder You're a ridiculous human being. You're utterly corrupt. I would say most of those ""career people"" only… https://t.co/KbyYcxgbMN"
