,0
0,@lisastark351 @ruxcytbl @curseofleinart @DonaldJTrumpJr @realDonaldTrump He's still waiting for Mexico to pay for t… https://t.co/j2RsX6VEW3
1,@tonymangeroni @aka_sam_tweets @AOC 100 trillion dollars? Do people realize how much a trillion dollars is. I don’t… https://t.co/XcDsgPOcGJ
2,"Is Mexico building a ladder against Trump's wall 

#mexico #usa #trump"
3,"Why do #MAGA #Trump supporters believe @realDonaldTrump has""done everything he said he would do"", as a Trump suppor… https://t.co/apy1GXrU5o"
4,"""The group has repeatedly appeared in local news stories in recent weeks, expressing support for Donald Trump’s pro… https://t.co/2kXm1arGMs"
5,Now get back to YOUR country and quit sucking off our social system !!! WALL !!! https://t.co/u9FI2JcDWx
6,"TRUMP Beat the DUM-A-CRATS so many time!
2016 Election, The Travel Band, Kavanaugh, the border wall funding,  wait… https://t.co/KRiZBC0d8L"
7,"@thehill @TheHillOpinion What is even worse is the lies Republicans tell themselves. ""Campaign promises are kept"" b… https://t.co/fvaMBm3ktr"
8,@tsamspeedy @psychdr100 Damn I have no idea where to begin.I never saw Trump deny knowing stormy Daniels. And Mexic… https://t.co/rN4tyih7Ov
9,"@LennaLeprena @Texas4Danny @ardenking55 @Franklin_Graham https://t.co/sR92rhHBdt The real issue is not #Brexit, or… https://t.co/mTbVVH3hPX"
10,"Sounds like we need more border guards and a Wall.
———-
New Mexico militia detains migrants at gunpoint until Borde… https://t.co/5nDnt0uHu2"
11,GOOD FOR THEM   THANK YOU   #BuildThe Wall   New Mexico militia detains migrants at gunpoint until Border Patrol ar… https://t.co/2nDHjYvV3L
12,"@_J_B_S_ Banning people from entering the country based on their faith...

 Claiming repeatedly that Mexico is goin… https://t.co/gAEu0CL2Gw"
13,@DanaLark3 @Larry55872287 @KatrinaPierson @CNN Trump supporters like the president and his surrogates are famous fo… https://t.co/T8EjjliTEs
14,If you’re about the wall just know that avocados are from Mexico and they will be more expensive once the wall is b… https://t.co/NB2vbhR2Nj
15,@ChrisCtkwilson @krassenstein @EdKrassen @realDonaldTrump The reason they haven’t been lowered is because the democ… https://t.co/V48NkrfTpB
16,"@realDonaldTrump Yeah, right - just like you 'agreed' to show us your taxes and have Mexico pay for the wall.  HAHAHAHAHA"
17,"So what?  The Socialists disinformation campaign has begun.

Deploy the Troops.  Close the Border.  Authorize Deadl… https://t.co/KzgopWsBEw"
18,"New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report

https://t.co/LUi6tCfFhj
All I… https://t.co/A2eO2ypZYp"
19,"@realDonaldTrump And why did you ""never agree to testify""? COULD IT BE BECAUSE YOU KNEW YOU WOULD COMMIT PERJURY, G… https://t.co/Zoxu5JfLpa"
20,The ACLU described them as “an armed fascist militia organization” made up of “vigilantes” working to “kidnap and d… https://t.co/E9fXaCEi9I
21,@washingtonpost @PostEverything Is it the rise and fall of #DonaldDuck ?! He seems to be above law and constitution… https://t.co/8ywhtJVYsY
22,@Cernovich I will only support if it is to invade Mexico to build a wall
23,"United Constitutional Patriots (New Mexico)
monitor the border until President Trump fulfills his campaign promise… https://t.co/ZshHoNFy3p"
24,"@MSNBC She just continues to lie, just like trump. When’s Mexico paying for the wall?"
25,"@Strasse62 @DavidAFrench All of the above are tied to zero new Trump policy

Notice you don’t mention:
❌Wall, Mexic… https://t.co/RszUU7hGqp"
26,@dpakman Trumps the law and order candidate. Mexico will pay for the wall because Trump is the second coming of chr… https://t.co/2psATIfOP5
27,@BecketAdams @DallasAJackson @DallasAJackson The man promised that Mexico would pay for the boarder wall. This is w… https://t.co/XJohPdQosn
28,"people from other countries: where are you from?

Me: Guatemala

Them: OH YOU HAD VOLCANO????? U DRIVE CARAVAN TO M… https://t.co/nolufrSWQq"
29,@AnnCoulter @DuncanWierman Must be fake news. Trump told us the Clintons are good people just like he said Mexico w… https://t.co/l2f2eg9Bx5
30,@girlybrickcity @MrDane1982 Yes she did. Follow the money. People just heard Trump putting money in their pockets.… https://t.co/BNpjDkCewU
31,@Billford123 @f_wizle_grande @realDonaldTrump There is no safe way without the wall there are miles of uncovered bo… https://t.co/04LMcMFEbD
32,"@JordanLeeLedger @f_wizle_grande @realDonaldTrump ok slow down. All trumplicans response about ""the economy"". Most… https://t.co/eug9HUfqUO"
