,0
0,@MiaFarrow @realDonaldTrump The Wall is happening and Trump is doing what Obama didn’t do.
1,@MikeHun19107664 @WhatsupFranks @RealSaavedra @benshapiro Ugh ..you 2 are so bad on econ. And actual history we wer… https://t.co/a6wr6sJUBt
2,"@PalmerReport ""Ask not what your country can do for you. Ask what you can do for your country""
 - John F. Kennedy… https://t.co/TibNFqgZJP"
3,@ZachFromIthaca @patdixon @AnnCoulter Idk what people want. Gimme money for the wall! Congress: NO!!!! Okay nationa… https://t.co/YTzVt3QeFF
4,How many other crimes has Trump committed since stealing the Presidency? He knows he is likely to go to prison when… https://t.co/AKNK3XrHiE
5,"@johnLadouceu56 @DonaldJTrumpJr @ezralevant Trump hasn’t done anything positive for America. The TaxScam, Mexico pa… https://t.co/LRYF7Gn0nP"
6,"@charliekirk11 The dossier was put out by a group first contracted by the GOP

There was no spying on Trump. It’s c… https://t.co/7rtN5vFdLc"
7,"@ByeByeObama1 @HillaryClinton I don't care about Hillary, she is a has been. 
She will be dead before anyone can la… https://t.co/bRkM7tl451"
8,@rskovach Don't agree with impeach Trump -- but agree that French money goes to the choice of the donator of the fu… https://t.co/mpGYxufgIH
9,@Helenwheels18 @DonaldJTrumpJr Where’s the “beautiful” healthcare trump promised? When’s Mexico paying for the wall… https://t.co/oxANWXncwD
10,"@UrbanAchievr Shocking. Remember when Pul Gigot at WSJ killled a story on Trump's mob ties, causing writers to resi… https://t.co/rHVeeTKn5l"
11,@IlhanMN WHY? President Trump is the best President this country has had in a very long time! Start doing your job!… https://t.co/S1zRZZjX3S
12,"@bri_mariex0 that don't matter... If I were to be like ""we need to build a wall right now"" -Donald Trump....you wou… https://t.co/LpFBxPp9QS"
13,nothing funnier than y’all thinking trump gon get the mexicans to build a wall to keep them out when they aren’t the problem 😌
14,"@JackPosobiec So they think Trump is Putin influenced, yet he strengthens our military and builds a wall at our border?"
15,"Mexico, Mexican collision?! #Agenda21 #agenda2030 #tcot #sgp #TeaParty #Mexico #Tijuana #border #maga #NEWS #wall… https://t.co/MQuyz4Y9Ji"
16,"@peterbakernyt @nytimes @maggieNYT I think Peter Baker your nuts you need mental help.
I didn’t vote for the Presid… https://t.co/5hB8C1bPG6"
17,@StevenBeschloss NANCY PELOSI AND THE DEMOCRATIC LEADERSHIP NEEDS TO REALIZE THIS IS A CONSTITUTIONAL CRISIS ! TRUM… https://t.co/db1kBt7uHL
18,@GregAbbott_TX And Trump’s wall would do NOTHING but divert resources from preventing that very thing.
19,"@JudicialWatch @realDonaldTrump @seanhannity Mr Hannity, every person who gets too close gets burned so I'm sure yo… https://t.co/gCJBWsMDwM"
20,@karmaal2010 @LonnyDaleBush @AnnCoulter She called Trump a Jerk for not getting the wall built.  There are a thousa… https://t.co/JkoStUWF2k
21,this old white guy comes into my work and we start talking politics. he’s talking about trump and this white lady o… https://t.co/qSJymadhHM
22,"@RepMarkMeadows We👀unprecedented desperation from SPINELESS WIMPY GRUs; Going all out🤥about conspiracy, deleting ev… https://t.co/bjcKricUHS"
23,Coulter is so bitter bc Trump didn't get the wall funding in his 1st year. She knows Ryan &amp; McConnell worked agains… https://t.co/7SvGNAtV4p
24,"@SchmuelDavid @EvanPCarlson @TuckerCarlson @seanhannity @IngrahamAngle @jack @FoxNews Fuck Trump 
The treasonous ba… https://t.co/Wtq7P2EJnS"
25,I'm with President Trump! Congress MUST support national security and FUND THE WALL!
26,"@jsawyer1950 I see your point, but I look to numbers from Midterms, when Trump &amp; his wall/caravan nonsense had the… https://t.co/90Y8Y8huNx"
27,"@SchmuelDavid 
Fuck you fyck trump the  treasonous bastard who  failed to report to FBI that Russia was trying mess… https://t.co/Rn1HzmpGC3"
