,0
0,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report https://t.co/L0poqVRvDI #FoxNews
1,"#ROFLoftheDay

California's US congressman, Duncan Hunter, jumps border fence in Arizona to show how easy it it. Ge… https://t.co/PJHvVbOsTH"
2,"https://t.co/N4FogilNS4 via @NYTimes
These people no more belong at the border playing cop than if they were at you… https://t.co/32YIJJYMyM"
3,‼️🧨‼️ Videos appear to show armed militia detaining migrants at US-Mexico border | US immigration | The Guardian https://t.co/9He8BPzFpe
4,"@realDonaldTrump Have you heard anything about this yet?
https://t.co/pAYJ0JLETa"
5,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report | Fox News #Patriots I used to… https://t.co/lzdD375r1A
6,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/c75cuT9dFV
7,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/4lXHKXeh3b
8,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/R1lm16u71N
9,Good Neighbor Settlement House volunteers https://t.co/vBsVmnYVKp
10,"@emc2birds1stone @Ludicculus Yeah, Videos appear to show armed militia detaining migrants at US-Mexico border

https://t.co/iqoELM7BZ8"
11,Militia detains migrants at gunpoint along the US-Mexico border https://t.co/rloWxr0Ard
12,https://t.co/tMlHpzr6NL
13,"Laredo, TX Mayor Pete Saenz discusses the potential impact of a U.S.-Mexico border shutdown. 

Listen to the full c… https://t.co/O1lw5iqYrh"
14,Check out this @argusleader story to learn about what I saw during my trip to our nation's southern border. https://t.co/T00altYVic
15,A right-wing militia group in New Mexico has begun stopping groups of migrant families and detaining them at gunpoi… https://t.co/Cy1nCfaO97
16,https://t.co/qAQD3L6pWD
17,"These  Scallywags ,would  not qualify for Military  service  or  Police work  Back ground checks  will reveal they… https://t.co/yni088VUNg"
18,"Here's what you need to know about the ""United Constitutional Patriots"" NAZI militia rounding up people at the US/M… https://t.co/fY33MJWDHj"
19,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report https://t.co/VsBjm77sv9 #FoxNews
